name,figure,policy,jobs_per_hr,seed,jct_sec,saturated,wall_time_sec,num_completed,multi_gpu
fig10_max_min_fairness_0.2jph_multi_s0,fig10,max_min_fairness,0.2,0,88910.2193570308,False,596.359931230545,5030,True
fig10_max_min_fairness_0.2jph_multi_s1,fig10,max_min_fairness,0.2,1,81685.00831719369,False,665.7111868858337,5017,True
fig10_max_min_fairness_0.2jph_multi_s2,fig10,max_min_fairness,0.2,2,83919.87921033821,False,602.203536272049,5012,True
fig10_max_min_fairness_0.4jph_multi_s0,fig10,max_min_fairness,0.4,0,88781.59508708706,False,437.9220952987671,5056,True
fig10_max_min_fairness_0.4jph_multi_s1,fig10,max_min_fairness,0.4,1,81613.34985106759,False,369.1671395301819,5053,True
fig10_max_min_fairness_0.4jph_multi_s2,fig10,max_min_fairness,0.4,2,83732.35456461529,False,367.597021818161,5027,True
fig10_max_min_fairness_0.6jph_multi_s0,fig10,max_min_fairness,0.6,0,88786.61465008692,False,288.1445007324219,5084,True
fig10_max_min_fairness_0.6jph_multi_s1,fig10,max_min_fairness,0.6,1,81721.84304389538,False,286.93694281578064,5088,True
fig10_max_min_fairness_0.6jph_multi_s2,fig10,max_min_fairness,0.6,2,83965.62924658705,False,287.23787546157837,5041,True
fig10_max_min_fairness_0.8jph_multi_s0,fig10,max_min_fairness,0.8,0,89197.87922512008,False,249.1264042854309,5136,True
fig10_max_min_fairness_0.8jph_multi_s1,fig10,max_min_fairness,0.8,1,82082.12537610192,False,259.52132415771484,5117,True
fig10_max_min_fairness_0.8jph_multi_s2,fig10,max_min_fairness,0.8,2,84341.67417751493,False,255.6688244342804,5059,True
fig10_max_min_fairness_1.0jph_multi_s0,fig10,max_min_fairness,1.0,0,89474.79548148475,False,237.36568593978882,5203,True
fig10_max_min_fairness_1.0jph_multi_s1,fig10,max_min_fairness,1.0,1,83035.04494659304,False,235.75241231918335,5161,True
fig10_max_min_fairness_1.0jph_multi_s2,fig10,max_min_fairness,1.0,2,84815.11029548029,False,232.76412391662598,5091,True
fig10_max_min_fairness_1.2jph_multi_s0,fig10,max_min_fairness,1.2,0,89419.2665360501,False,221.0301055908203,5266,True
fig10_max_min_fairness_1.2jph_multi_s1,fig10,max_min_fairness,1.2,1,82301.24764030948,False,217.79188585281372,5211,True
fig10_max_min_fairness_1.2jph_multi_s2,fig10,max_min_fairness,1.2,2,84467.6410281106,False,206.06014609336853,5125,True
fig10_max_min_fairness_1.4jph_multi_s0,fig10,max_min_fairness,1.4,0,89793.49192586055,False,201.54166316986084,5336,True
fig10_max_min_fairness_1.4jph_multi_s1,fig10,max_min_fairness,1.4,1,82394.44056975555,False,196.9220643043518,5263,True
fig10_max_min_fairness_1.4jph_multi_s2,fig10,max_min_fairness,1.4,2,84424.51228316927,False,195.1650152206421,5168,True
fig10_max_min_fairness_1.6jph_multi_s0,fig10,max_min_fairness,1.6,0,90021.75445148261,False,197.06458139419556,5426,True
fig10_max_min_fairness_1.6jph_multi_s1,fig10,max_min_fairness,1.6,1,82683.67834652154,False,192.50233674049377,5317,True
fig10_max_min_fairness_1.6jph_multi_s2,fig10,max_min_fairness,1.6,2,84795.35571260592,False,189.93418717384338,5205,True
fig10_max_min_fairness_1.8jph_multi_s0,fig10,max_min_fairness,1.8,0,91181.4324818926,False,200.7542245388031,5602,True
fig10_max_min_fairness_1.8jph_multi_s1,fig10,max_min_fairness,1.8,1,82739.58029431582,False,184.62076210975647,5364,True
fig10_max_min_fairness_1.8jph_multi_s2,fig10,max_min_fairness,1.8,2,85122.81412550744,False,185.6570601463318,5273,True
fig10_max_min_fairness_2.0jph_multi_s0,fig10,max_min_fairness,2.0,0,95962.11224866664,False,197.99840474128723,5938,True
fig10_max_min_fairness_2.0jph_multi_s1,fig10,max_min_fairness,2.0,1,84039.76838476521,False,177.20419001579285,5407,True
fig10_max_min_fairness_2.0jph_multi_s2,fig10,max_min_fairness,2.0,2,87808.83877020942,False,178.81929397583008,5385,True
fig10_max_min_fairness_2.2jph_multi_s0,fig10,max_min_fairness,2.2,0,103274.45515086233,False,221.35876393318176,6632,True
fig10_max_min_fairness_2.2jph_multi_s1,fig10,max_min_fairness,2.2,1,89365.87517796711,False,172.43622851371765,5445,True
