figure,source,role,policy,jobs_per_hr,seed,saturated,n_window_jobs,mean,p10,p50,p75,p90,p99,p99.9,p100
fig10,ours,baseline,max_min_fairness,0.2,0,False,1000,24.69728319858127,1.250641384548611,6.308731553819444,19.700372178819443,79.5380815972223,233.36448472222224,280.6692550173677,353.4798611111111
fig10,ours,baseline,max_min_fairness,0.2,1,False,1000,22.69028008124457,1.2271774631076389,5.8872021484375,19.39936089409722,68.8204743923611,219.22158402777774,260.1700940798624,274.6073611111111
fig10,ours,baseline,max_min_fairness,0.2,2,False,1000,23.31107752963596,1.1794407416449655,6.067438693576388,18.687167426215275,68.16163498263892,223.95627152777777,281.0080125173617,287.2607986111111
fig10,ours,baseline,max_min_fairness,0.2,all,False,3000,23.56621360315393,1.1964779459635417,6.061501736111111,19.376031358506943,71.80472352430553,223.9562715277777,280.5967769097223,353.4798611111111
fig10,ours,baseline,max_min_fairness,0.4,0,False,1000,24.661554140997993,1.2989637179904514,6.219659288194444,19.500958116319445,79.04549131944455,233.04260555555555,274.40582979167425,358.76229166666667
fig10,ours,baseline,max_min_fairness,0.4,1,False,1000,22.670374946865508,1.3207301025390625,5.687062717013889,19.09330837673611,66.07525434027787,219.43290607638886,259.3068876909731,268.8239409722222
fig10,ours,baseline,max_min_fairness,0.4,2,False,1000,23.258987398986818,1.2821120876736112,6.096415201822917,18.7268798828125,68.31700260416666,226.99414149305554,279.17074689236165,285.4668923611111
fig10,ours,baseline,max_min_fairness,0.4,all,False,3000,23.530305495616776,1.2936094156901043,5.996955023871528,19.197278645833332,72.06207335069442,225.00414409722214,274.3262319444454,358.76229166666667
fig10,ours,baseline,max_min_fairness,0.6,0,False,1000,24.662948532680936,1.3331676161024306,6.279278971354167,19.398372938368055,79.61415190972232,232.44033194444444,273.5394860069521,358.60006944444444
fig10,ours,baseline,max_min_fairness,0.6,1,False,1000,22.700511947224935,1.3409808756510417,5.870898166232639,18.980792643229165,68.70792881944446,219.15204062499998,261.0767872916669,263.85088541666664
