metric,demand_pct,policy,mean_value,std_value,n_seeds,paper_value
frag_over_total_pct,0,bestfit,14.94,0.0,3,
frag_over_total_pct,0,dotprod,14.97,0.01,3,
frag_over_total_pct,0,fgd,14.92,0.01,3,14
frag_over_total_pct,0,gpuclustering,14.98,0.01,3,15
frag_over_total_pct,0,gpupacking,14.94,0.0,3,
frag_over_total_pct,0,random,14.97,0.01,3,14.5
frag_over_total_pct,5,bestfit,14.28,0.07,3,
frag_over_total_pct,5,dotprod,14.79,0.02,3,
frag_over_total_pct,5,fgd,14.15,0.01,3,
frag_over_total_pct,5,gpuclustering,15.22,0.08,3,
frag_over_total_pct,5,gpupacking,14.26,0.03,3,
frag_over_total_pct,5,random,15.22,0.07,3,
frag_over_total_pct,10,bestfit,13.74,0.05,3,
frag_over_total_pct,10,dotprod,14.65,0.07,3,
frag_over_total_pct,10,fgd,13.59,0.02,3,12.8
frag_over_total_pct,10,gpuclustering,15.19,0.04,3,15
frag_over_total_pct,10,gpupacking,13.74,0.02,3,
frag_over_total_pct,10,random,15.37,0.13,3,14.5
frag_over_total_pct,15,bestfit,13.14,0.07,3,
frag_over_total_pct,15,dotprod,14.55,0.18,3,
frag_over_total_pct,15,fgd,12.99,0.01,3,
frag_over_total_pct,15,gpuclustering,15.08,0.11,3,
frag_over_total_pct,15,gpupacking,13.25,0.05,3,
frag_over_total_pct,15,random,15.38,0.11,3,
frag_over_total_pct,20,bestfit,12.66,0.09,3,
frag_over_total_pct,20,dotprod,14.14,0.14,3,
frag_over_total_pct,20,fgd,12.41,0.02,3,11.8
frag_over_total_pct,20,gpuclustering,14.7,0.1,3,14.5
frag_over_total_pct,20,gpupacking,12.93,0.06,3,
frag_over_total_pct,20,random,15.33,0.04,3,14.5
frag_over_total_pct,25,bestfit,12.13,0.08,3,
frag_over_total_pct,25,dotprod,14.0,0.18,3,
frag_over_total_pct,25,fgd,11.88,0.02,3,
frag_over_total_pct,25,gpuclustering,14.46,0.13,3,
frag_over_total_pct,25,gpupacking,12.42,0.1,3,
frag_over_total_pct,25,random,15.15,0.1,3,
frag_over_total_pct,30,bestfit,11.83,0.18,3,
frag_over_total_pct,30,dotprod,13.62,0.16,3,
frag_over_total_pct,30,fgd,11.36,0.03,3,11.1
frag_over_total_pct,30,gpuclustering,14.04,0.09,3,13.7
frag_over_total_pct,30,gpupacking,11.9,0.08,3,
frag_over_total_pct,30,random,14.96,0.08,3,14.8
frag_over_total_pct,35,bestfit,11.34,0.17,3,
frag_over_total_pct,35,dotprod,13.25,0.21,3,
frag_over_total_pct,35,fgd,10.85,0.04,3,
frag_over_total_pct,35,gpuclustering,13.77,0.06,3,
frag_over_total_pct,35,gpupacking,11.43,0.08,3,
frag_over_total_pct,35,random,14.62,0.13,3,
frag_over_total_pct,40,bestfit,10.84,0.15,3,
frag_over_total_pct,40,dotprod,12.74,0.18,3,
frag_over_total_pct,40,fgd,10.3,0.02,3,10.1
frag_over_total_pct,40,gpuclustering,13.36,0.07,3,13
frag_over_total_pct,40,gpupacking,10.94,0.07,3,
frag_over_total_pct,40,random,14.23,0.13,3,14.9
frag_over_total_pct,45,bestfit,10.35,0.13,3,
frag_over_total_pct,45,dotprod,12.32,0.18,3,
frag_over_total_pct,45,fgd,9.78,0.01,3,9.2
