figure,jobs_per_hr,policy,mean_jct_hours,std_jct_hours,n_seeds,paper_jct_hours
fig10,0.2,baseline,20.61,4.08,3,25
fig10,0.2,gavel,15.26,2.15,3,17
fig10,0.4,baseline,22.91,7.09,3,23
fig10,0.4,gavel,17.39,4.33,3,17
fig10,0.6,baseline,24.98,2.03,3,24
fig10,0.6,gavel,19.6,1.63,3,17
fig10,0.8,baseline,22.35,3.22,3,23
fig10,0.8,gavel,17.52,1.55,3,17
fig10,1.0,baseline,23.69,2.0,3,23
fig10,1.0,gavel,17.89,1.15,3,16
fig10,1.2,baseline,20.53,0.31,3,23
fig10,1.2,gavel,15.22,0.32,3,17
fig10,1.4,baseline,19.33,0.49,3,25
fig10,1.4,gavel,14.58,0.28,3,17
fig10,1.6,baseline,19.39,0.63,3,23
fig10,1.6,gavel,14.59,0.47,3,17
fig10,1.8,baseline,19.44,0.76,3,23
fig10,1.8,gavel,14.54,0.36,3,17
fig10,2.0,baseline,20.25,1.24,3,25
fig10,2.0,gavel,15.65,1.09,3,18
fig10,2.2,baseline,14.79,1.24,3,30
fig10,2.2,gavel,12.72,1.61,3,19
fig10,2.4,baseline,20.28,1.18,3,41
fig10,2.4,gavel,15.84,1.16,3,26
fig10,2.6,baseline,24.6,2.65,3,94
fig10,2.6,gavel,21.04,0.78,3,31
fig10,2.8,baseline,25.28,0.51,3,
fig10,2.8,gavel,25.7,1.18,3,46
fig10,3.0,baseline,27.19,0.78,3,
fig10,3.0,gavel,29.78,0.87,3,100
fig10,3.2,baseline,27.95,0.58,3,
fig10,3.2,gavel,33.84,1.04,3,
fig10,3.4,baseline,32.49,3.01,3,
fig10,3.4,gavel,38.39,0.91,3,
fig10,3.6,baseline,44.7,6.53,3,
fig10,3.6,gavel,41.75,1.31,3,
fig10,3.8,baseline,60.04,9.1,3,
fig10,3.8,gavel,48.3,0.42,3,
fig10,4.0,baseline,74.97,7.12,3,
fig10,4.0,gavel,58.1,4.24,3,
fig11,0.2,baseline,20.61,4.08,3,24
fig11,0.2,gavel,15.26,2.15,3,17
fig11,0.4,baseline,22.85,7.05,3,23
fig11,0.4,gavel,17.37,4.3,3,16
fig11,0.6,baseline,24.72,1.92,3,25
fig11,0.6,gavel,19.58,1.64,3,17
fig11,0.8,baseline,21.71,2.91,3,24
fig11,0.8,gavel,17.5,1.56,3,16
fig11,1.0,baseline,22.89,1.42,3,24
fig11,1.0,gavel,17.9,1.14,3,16
fig11,1.2,baseline,19.34,0.49,3,24
fig11,1.2,gavel,15.26,0.23,3,16
fig11,1.4,baseline,18.04,0.54,3,23
fig11,1.4,gavel,14.63,0.26,3,17
fig11,1.6,baseline,17.69,0.45,3,24
fig11,1.6,gavel,14.71,0.48,3,16
fig11,1.8,baseline,17.51,0.63,3,25
fig11,1.8,gavel,14.82,0.63,3,18
fig11,2.0,baseline,17.84,1.04,3,26
fig11,2.0,gavel,15.91,1.28,3,18
fig11,2.2,baseline,14.64,1.41,3,25
fig11,2.2,gavel,12.78,1.67,3,19
fig11,2.4,baseline,18.79,3.29,3,36
fig11,2.4,gavel,15.59,2.33,3,22
fig11,2.6,baseline,26.22,3.14,3,47
fig11,2.6,gavel,21.93,1.46,3,28
fig11,2.8,baseline,30.73,4.35,3,81
fig11,2.8,gavel,26.96,0.71,3,36
fig11,3.0,baseline,34.16,0.32,3,100
fig11,3.0,gavel,33.85,1.07,3,47
fig11,3.2,baseline,59.0,2.91,3,
fig11,3.2,gavel,41.52,1.0,3,64
fig11,3.4,baseline,51.73,3.69,3,
fig11,3.4,gavel,51.33,3.75,3,92
fig11,3.6,baseline,62.25,4.06,3,
fig11,3.6,gavel,61.85,4.05,3,
fig11,3.8,baseline,71.39,2.94,3,
fig11,3.8,gavel,71.13,2.86,3,
fig11,4.0,baseline,80.58,1.68,3,
fig11,4.0,gavel,80.81,1.0,3,
fig11,4.2,baseline,88.82,0.74,3,
fig11,4.2,gavel,88.6,0.62,3,
fig11,4.4,baseline,95.23,0.4,3,
fig11,4.4,gavel,95.29,0.34,3,
fig9,0.4,baseline,24.51,1.69,3,22
fig9,0.4,gavel,18.63,2.1,3,16
fig9,0.8,baseline,23.65,1.29,3,
fig9,0.8,gavel,18.16,0.64,3,
fig9,1.2,baseline,23.51,1.94,3,
fig9,1.2,gavel,18.02,1.28,3,
fig9,1.6,baseline,19.52,0.98,3,23
fig9,1.6,gavel,15.75,0.37,3,17
fig9,2.0,baseline,20.53,1.59,3,
fig9,2.0,gavel,15.6,0.98,3,17
fig9,2.4,baseline,17.63,0.17,3,23
fig9,2.4,gavel,13.81,0.47,3,16
fig9,2.8,baseline,22.93,1.62,3,
fig9,2.8,gavel,15.98,0.88,3,
fig9,3.2,baseline,23.01,1.62,3,
fig9,3.2,gavel,15.9,1.01,3,
fig9,3.6,baseline,23.04,1.62,3,22
fig9,3.6,gavel,16.06,1.14,3,15
fig9,4.0,baseline,23.03,1.66,3,22
fig9,4.0,gavel,16.38,1.29,3,15
fig9,4.4,baseline,23.27,1.71,3,24
fig9,4.4,gavel,16.97,1.52,3,14
fig9,4.8,baseline,35.86,8.31,3,
fig9,4.8,gavel,18.05,1.66,3,
fig9,5.2,baseline,61.04,11.22,3,
fig9,5.2,gavel,20.62,1.53,3,
fig9,5.6,baseline,86.64,6.16,3,92
fig9,5.6,gavel,26.43,3.39,3,30
fig9,6.0,baseline,100.44,5.5,3,99
fig9,6.0,gavel,37.46,7.79,3,46
fig9,6.4,baseline,110.82,4.81,3,
fig9,6.4,gavel,54.06,9.65,3,99
fig9,6.8,baseline,119.9,0.87,3,
fig9,6.8,gavel,73.58,6.65,3,
fig9,7.2,baseline,126.08,5.78,3,
fig9,7.2,gavel,86.93,4.71,3,
fig9,7.6,baseline,127.18,7.62,3,
fig9,7.6,gavel,95.2,8.99,3,
fig9,8.0,baseline,132.37,7.15,3,
fig9,8.0,gavel,98.06,5.61,3,
