scheduler,sim_time,arrived_workload_pct,active_workload_pct,fragmentation_rate,utilization_pct,tasks_arrived,tasks_scheduled,tasks_completed,tasks_failed,tasks_active,tasks_queued,avg_jct
Random,2262983,6.0,6.0,0.7816030658544082,6.000000000000005,3,3,0,0,3,0,0.0
Random,2592269,12.25,12.25,0.7777672886707155,12.250000000000005,5,5,0,0,5,0,0.0
Random,3703137,18.5,18.5,0.8153028478697879,18.500000000000007,7,7,0,0,7,0,0.0
Random,4755031,24.75,24.75,0.8841951354448639,24.750000000000007,9,9,0,0,9,0,0.0
Random,6549760,32.4375,32.4375,3.0740152438648995,32.4375,12,12,0,0,12,0,0.0
Random,7969246,38.6875,38.6875,3.345510320559623,38.6875,14,14,0,0,14,0,0.0
Random,9010436,63.68750000000001,38.6875,3.345510320559623,38.6875,15,14,0,0,14,1,0.0
Random,9244646,69.43750000000001,44.43750000000001,5.10431629351344,44.4375,19,18,0,0,18,1,0.0
Random,9391705,76.375,51.375000000000014,4.925270774680958,51.37499999999999,22,21,0,0,21,1,0.0
Random,9522921,83.96875,58.968750000000014,8.11360072024456,58.96874999999999,26,25,0,0,25,1,0.0
Random,9534241,90.90625,65.90625000000001,8.54857370400857,65.90625,29,28,0,0,28,1,0.0
Random,9538558,98.59375,70.46875000000001,13.6552440290758,70.46874999999999,32,31,1,0,30,1,40752.0
Random,9540143,104.84374999999999,70.46875000000001,15.423557635395635,70.46874999999999,34,33,3,0,30,1,14029.666666666666
Random,9547277,110.34374999999996,60.28125000000002,6.885089488382211,60.28125,38,37,10,0,27,1,38098.1
Random,9550494,116.59374999999996,63.40625000000002,7.431506377211386,63.40625,40,39,11,0,28,1,34663.0
Random,9558146,124.28124999999997,59.406250000000014,11.040244232923003,59.40624999999999,43,42,17,0,25,1,25862.235294117647
Random,9562554,130.53124999999997,62.531250000000014,11.911949186391286,62.53124999999999,45,44,18,0,26,1,24446.833333333332
Random,9566692,135.65624999999997,61.406250000000014,12.253195238930608,61.40624999999999,48,47,20,0,27,1,22030.3
Random,9572550,141.90624999999997,62.531250000000014,11.910248533836729,62.53124999999999,50,49,23,0,26,1,20913.260869565216
Random,9572806,148.15624999999997,65.65625000000001,15.617825633302749,65.65625,52,51,24,0,27,1,20046.666666666668
Random,9574217,155.87499999999997,67.12500000000001,20.111925552386094,67.125,55,54,26,0,28,1,18523.153846153848
Random,9574793,161.53124999999997,66.53125000000001,21.502546076487803,66.53125,57,56,28,0,28,1,17338.0
Random,9575752,167.78124999999997,66.75000000000001,13.985726316641223,66.75,59,58,31,0,27,1,16472.290322580644
Random,9577738,173.43749999999997,63.03125000000001,12.70879851038011,63.03125000000001,61,60,34,0,26,1,156909.26470588235
Random,9581314,179.68749999999997,60.50000000000001,10.565024879099767,60.5,63,62,37,0,25,1,144320.94594594595
Random,9582161,185.93749999999997,63.62500000000001,12.782986917055714,63.625,65,64,38,0,26,1,140529.07894736843
Random,9584116,192.18749999999997,60.50000000000001,10.565024879099767,60.5,67,66,41,0,25,1,130254.0487804878
Random,9584698,198.43749999999997,63.62500000000001,11.381434053415944,63.625,69,68,42,0,26,1,127156.11904761905
Random,9586616,204.6875,66.75000000000001,12.41710105765689,66.75,71,70,43,0,27,1,124227.3488372093
Random,9587753,210.24999999999997,63.531250000000014,8.014811643814841,63.53124999999999,74,73,46,0,27,1,116431.80434782608
Random,9588788,218.12499999999994,64.84375000000001,13.60249221183801,64.84375,78,77,50,0,27,1,107186.88
Random,9590582,226.09374999999994,61.093750000000014,6.85964475290002,61.09375,81,80,55,0,25,1,97454.21818181819
Random,9591164,232.59374999999994,66.75000000000001,12.41710105765689,66.75,84,83,56,0,27,1,95720.78571428571
Random,9591723,239.71874999999994,65.68750000000001,7.236658500638892,65.6875,87,86,59,0,27,1,90858.64406779662
Random,9592799,245.37499999999994,57.37500000000001,8.855821209878822,57.375,89,88,64,0,24,1,83922.15625
Random,9593254,250.4999999999999,58.37500000000001,12.64887444793987,58.375,92,91,66,0,25,1,81380.45454545454
Random,9594196,256.7499999999999,60.50000000000001,11.837770972471674,60.5,94,93,68,0,25,1,78999.51470588235
Random,9595732,262.9999999999999,60.50000000000001,9.50988128654342,60.5,96,95,70,0,25,1,76744.85714285714
