name,policy,jobs_per_hr,runtime_sec,jct_sec,utilization,saturated
fig10_max_min_fairness_perf_2.0jph_multi_s0,max_min_fairness_perf,2.0,110.42,59952.91,0.6688,True
fig10_max_min_fairness_perf_2.0jph_multi_s1,max_min_fairness_perf,2.0,110.83,56835.26,0.7102,True
fig10_max_min_fairness_perf_2.0jph_multi_s2,max_min_fairness_perf,2.0,116.41,52183.60,0.7666,True
fig10_max_min_fairness_2.0jph_multi_s1,max_min_fairness,2.0,135.27,74044.02,0.8241,True
fig10_max_min_fairness_2.0jph_multi_s2,max_min_fairness,2.0,137.40,67981.52,0.8531,True
fig10_max_min_fairness_2.0jph_multi_s0,max_min_fairness,2.0,143.10,76669.40,0.7983,True
fig9_max_min_fairness_perf_2.0jph_single_s2,max_min_fairness_perf,2.0,175.68,53090.62,0.2965,True
fig9_max_min_fairness_perf_2.0jph_single_s0,max_min_fairness_perf,2.0,181.25,59983.24,0.3038,True
fig9_max_min_fairness_2.0jph_single_s2,max_min_fairness,2.0,172.21,69071.48,0.4015,True
fig9_max_min_fairness_perf_2.0jph_single_s1,max_min_fairness_perf,2.0,185.82,55381.97,0.3137,True
fig9_max_min_fairness_2.0jph_single_s0,max_min_fairness,2.0,210.27,80205.12,0.4198,True
fig9_max_min_fairness_2.0jph_single_s1,max_min_fairness,2.0,280.01,72399.68,0.4319,True
fig11_finish_time_fairness_perf_2.0jph_multi_s0,finish_time_fairness_perf,2.0,331.89,61014.23,0.6659,True
fig11_finish_time_fairness_perf_2.0jph_multi_s1,finish_time_fairness_perf,2.0,336.70,58646.43,0.7044,True
fig11_finish_time_fairness_perf_2.0jph_multi_s2,finish_time_fairness_perf,2.0,368.62,52124.69,0.7640,True
fig11_finish_time_fairness_2.0jph_multi_s0,finish_time_fairness,2.0,375.02,67610.98,0.8113,True
fig11_finish_time_fairness_2.0jph_multi_s1,finish_time_fairness,2.0,378.64,64843.54,0.8316,True
fig11_finish_time_fairness_2.0jph_multi_s2,finish_time_fairness,2.0,402.92,60183.66,0.8650,True
