name,policy,jobs_per_hr,runtime_sec,jct_sec,utilization,saturated
fig10_max_min_fairness_perf_3.2jph_multi_s1,max_min_fairness_perf,3.2,441.21,124261.85,0.9868,True
fig10_max_min_fairness_perf_3.2jph_multi_s0,max_min_fairness_perf,3.2,446.14,117531.92,0.9773,True
fig10_max_min_fairness_perf_3.4jph_multi_s0,max_min_fairness_perf,3.4,447.17,139907.66,0.9808,True
fig10_max_min_fairness_perf_3.4jph_multi_s1,max_min_fairness_perf,3.4,455.51,140283.63,0.9894,True
fig10_max_min_fairness_perf_3.6jph_multi_s1,max_min_fairness_perf,3.6,463.94,147417.86,0.9908,True
fig10_max_min_fairness_perf_3.2jph_multi_s2,max_min_fairness_perf,3.2,473.83,123703.92,0.9798,True
fig10_max_min_fairness_perf_3.4jph_multi_s2,max_min_fairness_perf,3.4,476.06,134439.94,0.9826,True
fig10_max_min_fairness_perf_3.8jph_multi_s0,max_min_fairness_perf,3.8,485.02,173478.11,0.9857,True
fig10_max_min_fairness_perf_3.8jph_multi_s1,max_min_fairness_perf,3.8,488.73,172640.67,0.9922,True
fig10_max_min_fairness_perf_3.6jph_multi_s2,max_min_fairness_perf,3.6,494.65,155725.18,0.9852,True
fig10_max_min_fairness_perf_3.6jph_multi_s0,max_min_fairness_perf,3.6,504.19,147734.52,0.9834,True
fig10_max_min_fairness_perf_3.8jph_multi_s2,max_min_fairness_perf,3.8,515.77,175560.20,0.9876,True
fig10_max_min_fairness_3.4jph_multi_s2,max_min_fairness,3.4,515.79,105638.55,0.9810,True
fig10_max_min_fairness_3.2jph_multi_s0,max_min_fairness,3.2,519.77,101773.49,0.9773,True
fig10_max_min_fairness_perf_4.0jph_multi_s2,max_min_fairness_perf,4.0,524.68,208643.98,0.9890,True
fig10_max_min_fairness_3.2jph_multi_s2,max_min_fairness,3.2,523.98,101848.77,0.9795,True
fig10_max_min_fairness_3.4jph_multi_s0,max_min_fairness,3.4,524.10,117983.13,0.9791,True
fig10_max_min_fairness_3.4jph_multi_s1,max_min_fairness,3.4,526.09,127233.22,0.9857,True
fig10_max_min_fairness_3.2jph_multi_s1,max_min_fairness,3.2,527.97,98218.35,0.9843,True
fig10_max_min_fairness_perf_4.0jph_multi_s0,max_min_fairness_perf,4.0,542.73,194183.30,0.9876,True
fig10_max_min_fairness_3.6jph_multi_s2,max_min_fairness,3.6,546.96,133862.09,0.9824,True
fig10_max_min_fairness_3.6jph_multi_s1,max_min_fairness,3.6,550.80,176090.70,0.9869,True
fig10_max_min_fairness_perf_4.0jph_multi_s1,max_min_fairness_perf,4.0,559.44,224696.12,0.9932,True
fig10_max_min_fairness_4.0jph_multi_s0,max_min_fairness,4.0,572.55,284069.02,0.9847,True
fig10_max_min_fairness_3.8jph_multi_s0,max_min_fairness,3.8,573.30,235239.86,0.9829,True
fig10_max_min_fairness_4.0jph_multi_s2,max_min_fairness,4.0,579.07,240281.56,0.9851,True
fig10_max_min_fairness_3.8jph_multi_s2,max_min_fairness,3.8,580.02,178298.67,0.9837,True
fig10_max_min_fairness_3.8jph_multi_s1,max_min_fairness,3.8,580.79,234864.80,0.9878,True
fig10_max_min_fairness_4.0jph_multi_s1,max_min_fairness,4.0,588.64,285307.32,0.9889,True
fig10_max_min_fairness_3.6jph_multi_s0,max_min_fairness,3.6,589.44,172839.58,0.9812,True
fig11_finish_time_fairness_perf_3.6jph_multi_s0,finish_time_fairness_perf,3.6,2501.94,207424.44,0.9841,True
fig11_finish_time_fairness_perf_3.6jph_multi_s1,finish_time_fairness_perf,3.6,2527.31,223997.99,0.9916,True
fig11_finish_time_fairness_3.6jph_multi_s0,finish_time_fairness,3.6,2533.83,208946.31,0.9885,True
fig11_finish_time_fairness_3.8jph_multi_s2,finish_time_fairness,3.8,2541.07,269237.97,0.9905,True
fig11_finish_time_fairness_4.0jph_multi_s0,finish_time_fairness,4.0,2766.24,289325.34,0.9912,True
fig11_finish_time_fairness_perf_4.0jph_multi_s0,finish_time_fairness_perf,4.0,2772.31,288901.61,0.9876,True
fig11_finish_time_fairness_perf_3.6jph_multi_s2,finish_time_fairness_perf,3.6,2799.36,236514.21,0.9863,True
fig11_finish_time_fairness_perf_4.0jph_multi_s1,finish_time_fairness_perf,4.0,2835.04,288821.27,0.9934,True
fig11_finish_time_fairness_4.0jph_multi_s1,finish_time_fairness,4.0,2847.03,284457.08,0.9941,True
fig11_finish_time_fairness_3.6jph_multi_s1,finish_time_fairness,3.6,2865.28,225281.16,0.9928,True
fig11_finish_time_fairness_perf_4.0jph_multi_s2,finish_time_fairness_perf,4.0,3011.75,295069.91,0.9890,True
fig11_finish_time_fairness_4.0jph_multi_s2,finish_time_fairness,4.0,3026.77,296503.95,0.9912,True
fig11_finish_time_fairness_3.6jph_multi_s2,finish_time_fairness,3.6,3138.09,238108.74,0.9894,True
fig11_finish_time_fairness_4.2jph_multi_s0,finish_time_fairness,4.2,3290.75,320596.54,0.9922,True
fig11_finish_time_fairness_perf_4.2jph_multi_s0,finish_time_fairness_perf,4.2,3299.24,319722.69,0.9894,True
fig11_finish_time_fairness_perf_4.2jph_multi_s1,finish_time_fairness_perf,4.2,3418.23,316448.79,0.9939,True
fig11_finish_time_fairness_3.8jph_multi_s0,finish_time_fairness,3.8,3437.62,251390.37,0.9901,True
fig11_finish_time_fairness_perf_3.8jph_multi_s1,finish_time_fairness_perf,3.8,3443.88,249416.03,0.9926,True
fig11_finish_time_fairness_4.2jph_multi_s1,finish_time_fairness,4.2,3462.60,316766.47,0.9944,True
fig11_finish_time_fairness_perf_3.8jph_multi_s0,finish_time_fairness_perf,3.8,3468.25,250905.22,0.9858,True
fig11_finish_time_fairness_perf_4.2jph_multi_s2,finish_time_fairness_perf,4.2,3506.14,320753.95,0.9900,True
fig11_finish_time_fairness_4.2jph_multi_s2,finish_time_fairness,4.2,3559.76,321917.57,0.9919,True
fig11_finish_time_fairness_3.8jph_multi_s1,finish_time_fairness,3.8,3579.32,250432.21,0.9936,True
fig11_finish_time_fairness_perf_3.8jph_multi_s2,finish_time_fairness_perf,3.8,3730.16,267922.89,0.9878,True
fig11_finish_time_fairness_4.4jph_multi_s0,finish_time_fairness,4.4,3827.75,342180.56,0.9929,True
fig11_finish_time_fairness_perf_4.4jph_multi_s0,finish_time_fairness_perf,4.4,3838.79,341632.31,0.9907,True
fig11_finish_time_fairness_4.4jph_multi_s1,finish_time_fairness,4.4,4042.05,344495.99,0.9947,True
fig11_finish_time_fairness_perf_4.4jph_multi_s1,finish_time_fairness_perf,4.4,4050.79,343865.28,0.9943,True
fig11_finish_time_fairness_perf_4.4jph_multi_s2,finish_time_fairness_perf,4.4,4136.68,343683.68,0.9910,True
fig11_finish_time_fairness_4.4jph_multi_s2,finish_time_fairness,4.4,4191.84,341820.65,0.9924,True
