name,policy,jobs_per_hr,runtime_sec,jct_sec,utilization,saturated
fig10_max_min_fairness_perf_0.2jph_multi_s1,max_min_fairness_perf,0.2,16.93,46083.50,0.0618,False
fig11_finish_time_fairness_perf_0.2jph_multi_s1,finish_time_fairness_perf,0.2,20.67,46083.50,0.0616,False
fig11_finish_time_fairness_perf_0.2jph_multi_s0,finish_time_fairness_perf,0.2,20.32,58238.43,0.0523,False
fig10_max_min_fairness_perf_0.2jph_multi_s0,max_min_fairness_perf,0.2,16.46,58238.43,0.0523,False
fig10_max_min_fairness_0.2jph_multi_s0,max_min_fairness,0.2,19.48,79694.44,0.0693,False
fig10_max_min_fairness_perf_0.2jph_multi_s2,max_min_fairness_perf,0.2,19.32,60483.09,0.0597,False
fig10_max_min_fairness_0.2jph_multi_s1,max_min_fairness,0.2,21.16,57534.06,0.0870,False
fig11_finish_time_fairness_0.2jph_multi_s0,finish_time_fairness,0.2,24.91,79694.44,0.0695,False
fig11_finish_time_fairness_perf_0.2jph_multi_s2,finish_time_fairness_perf,0.2,23.63,60483.09,0.0596,False
fig10_max_min_fairness_0.2jph_multi_s2,max_min_fairness,0.2,23.30,85315.95,0.0837,False
fig11_finish_time_fairness_0.2jph_multi_s1,finish_time_fairness,0.2,26.79,57534.06,0.0868,False
fig9_max_min_fairness_perf_0.4jph_single_s0,max_min_fairness_perf,0.4,25.45,58342.25,0.0676,False
fig11_finish_time_fairness_0.2jph_multi_s2,finish_time_fairness,0.2,29.75,85315.93,0.0837,False
fig9_max_min_fairness_perf_0.4jph_single_s1,max_min_fairness_perf,0.4,28.36,71089.56,0.0601,False
fig10_max_min_fairness_perf_0.4jph_multi_s0,max_min_fairness_perf,0.4,28.12,59171.17,0.1173,False
fig9_max_min_fairness_perf_0.4jph_single_s2,max_min_fairness_perf,0.4,29.91,71801.16,0.0734,False
fig10_max_min_fairness_perf_0.4jph_multi_s1,max_min_fairness_perf,0.4,28.61,49048.44,0.1070,True
fig10_max_min_fairness_0.4jph_multi_s1,max_min_fairness,0.4,34.27,55821.66,0.1507,True
fig10_max_min_fairness_perf_0.4jph_multi_s2,max_min_fairness_perf,0.4,32.42,79616.59,0.1295,False
fig10_max_min_fairness_0.4jph_multi_s0,max_min_fairness,0.4,34.44,84862.51,0.1670,False
fig10_max_min_fairness_0.4jph_multi_s2,max_min_fairness,0.4,39.74,106735.46,0.1816,True
fig11_finish_time_fairness_perf_0.4jph_multi_s1,finish_time_fairness_perf,0.4,42.49,49026.06,0.1069,True
fig11_finish_time_fairness_perf_0.4jph_multi_s0,finish_time_fairness_perf,0.4,43.38,59104.22,0.1171,False
fig10_max_min_fairness_perf_0.6000000000000001jph_multi_s0,max_min_fairness_perf,0.6000000000000001,40.48,65784.33,0.1594,True
fig9_max_min_fairness_0.4jph_single_s0,max_min_fairness,0.4,44.51,83641.66,0.0898,False
fig10_max_min_fairness_perf_0.6000000000000001jph_multi_s1,max_min_fairness_perf,0.6000000000000001,40.94,68752.67,0.1780,True
fig10_max_min_fairness_perf_0.6000000000000001jph_multi_s2,max_min_fairness_perf,0.6000000000000001,45.54,77120.85,0.1954,True
fig10_max_min_fairness_0.6000000000000001jph_multi_s0,max_min_fairness,0.6000000000000001,48.16,83386.41,0.2257,True
fig11_finish_time_fairness_perf_0.4jph_multi_s2,finish_time_fairness_perf,0.4,49.52,79422.75,0.1292,False
fig9_max_min_fairness_perf_0.8jph_single_s0,max_min_fairness_perf,0.8,48.64,62751.62,0.1236,False
fig9_max_min_fairness_perf_0.8jph_single_s1,max_min_fairness_perf,0.8,49.34,66551.38,0.1261,True
fig10_max_min_fairness_0.6000000000000001jph_multi_s1,max_min_fairness,0.6000000000000001,49.34,88576.99,0.2509,True
fig11_finish_time_fairness_0.4jph_multi_s1,finish_time_fairness,0.4,52.40,55777.17,0.1504,True
fig10_max_min_fairness_perf_0.8jph_multi_s1,max_min_fairness_perf,0.8,49.36,57028.58,0.2327,True
fig9_max_min_fairness_perf_0.8jph_single_s2,max_min_fairness_perf,0.8,52.70,66861.94,0.1419,False
fig11_finish_time_fairness_0.4jph_multi_s0,finish_time_fairness,0.4,56.34,84625.93,0.1671,False
fig9_max_min_fairness_0.4jph_single_s1,max_min_fairness,0.4,56.61,85927.81,0.0804,True
fig10_max_min_fairness_perf_0.8jph_multi_s0,max_min_fairness_perf,0.8,52.72,68074.55,0.2209,True
fig10_max_min_fairness_0.6000000000000001jph_multi_s2,max_min_fairness,0.6000000000000001,55.93,97827.40,0.2776,True
fig10_max_min_fairness_perf_0.8jph_multi_s2,max_min_fairness_perf,0.8,55.42,64069.20,0.2771,False
fig10_max_min_fairness_0.8jph_multi_s1,max_min_fairness,0.8,60.63,67066.77,0.3231,True
fig11_finish_time_fairness_0.4jph_multi_s2,finish_time_fairness,0.4,65.13,106370.90,0.1814,True
fig10_max_min_fairness_0.8jph_multi_s0,max_min_fairness,0.8,63.23,87231.08,0.3119,True
fig10_max_min_fairness_perf_1.0jph_multi_s1,max_min_fairness_perf,1.0,61.58,61084.27,0.2859,True
fig10_max_min_fairness_perf_1.0jph_multi_s0,max_min_fairness_perf,1.0,61.84,63130.16,0.2840,True
fig9_max_min_fairness_0.8jph_single_s2,max_min_fairness,0.8,65.17,89550.73,0.1881,True
fig9_max_min_fairness_perf_1.2000000000000002jph_single_s0,max_min_fairness_perf,1.2000000000000002,68.52,63721.24,0.1852,True
fig11_finish_time_fairness_perf_0.6000000000000001jph_multi_s0,finish_time_fairness_perf,0.6000000000000001,71.59,65784.26,0.1592,True
fig9_max_min_fairness_perf_1.2000000000000002jph_single_s2,max_min_fairness_perf,1.2000000000000002,69.47,60953.44,0.1962,False
fig10_max_min_fairness_0.8jph_multi_s2,max_min_fairness,0.8,70.56,87118.98,0.3909,True
fig10_max_min_fairness_perf_1.0jph_multi_s2,max_min_fairness_perf,1.0,67.48,69042.72,0.3368,True
fig9_max_min_fairness_perf_1.2000000000000002jph_single_s1,max_min_fairness_perf,1.2000000000000002,71.02,69939.88,0.1971,True
fig11_finish_time_fairness_perf_0.6000000000000001jph_multi_s1,finish_time_fairness_perf,0.6000000000000001,72.57,68559.53,0.1770,True
fig10_max_min_fairness_perf_1.2jph_multi_s1,max_min_fairness_perf,1.2,68.98,53629.30,0.3495,True
fig9_max_min_fairness_0.4jph_single_s2,max_min_fairness,0.4,68.30,95117.25,0.0968,False
fig10_max_min_fairness_perf_1.2jph_multi_s0,max_min_fairness_perf,1.2,71.49,55902.17,0.3444,True
fig10_max_min_fairness_1.0jph_multi_s1,max_min_fairness,1.0,76.57,78268.16,0.3988,True
fig10_max_min_fairness_perf_1.6jph_multi_s1,max_min_fairness_perf,1.6,79.91,52502.28,0.4806,True
fig10_max_min_fairness_1.0jph_multi_s0,max_min_fairness,1.0,77.82,84907.31,0.4001,True
fig10_max_min_fairness_perf_1.2jph_multi_s2,max_min_fairness_perf,1.2,74.70,54862.85,0.4081,False
fig11_finish_time_fairness_perf_0.6000000000000001jph_multi_s2,finish_time_fairness_perf,0.6000000000000001,83.27,77092.41,0.1949,True
fig10_max_min_fairness_perf_1.4000000000000001jph_multi_s1,max_min_fairness_perf,1.4000000000000001,78.34,53440.41,0.4207,True
fig10_max_min_fairness_perf_1.4000000000000001jph_multi_s0,max_min_fairness_perf,1.4000000000000001,79.22,51419.37,0.4039,True
fig9_max_min_fairness_1.2000000000000002jph_single_s0,max_min_fairness,1.2000000000000002,83.21,85226.51,0.2519,True
fig9_max_min_fairness_perf_1.6jph_single_s0,max_min_fairness_perf,1.6,83.63,55564.47,0.2431,True
fig10_max_min_fairness_perf_1.6jph_multi_s2,max_min_fairness_perf,1.6,86.74,54248.85,0.5645,True
fig10_max_min_fairness_1.0jph_multi_s2,max_min_fairness,1.0,84.51,92657.32,0.4708,True
fig9_max_min_fairness_1.2000000000000002jph_single_s2,max_min_fairness,1.2000000000000002,85.88,77347.83,0.2614,True
fig10_max_min_fairness_perf_1.8jph_multi_s0,max_min_fairness_perf,1.8,88.82,53843.77,0.5649,True
fig10_max_min_fairness_perf_1.8jph_multi_s1,max_min_fairness_perf,1.8,89.05,51361.96,0.5782,True
fig9_max_min_fairness_perf_1.6jph_single_s2,max_min_fairness_perf,1.6,86.70,56361.41,0.2531,True
fig9_max_min_fairness_1.2000000000000002jph_single_s1,max_min_fairness,1.2000000000000002,86.86,91280.24,0.2645,True
fig9_max_min_fairness_perf_1.6jph_single_s1,max_min_fairness_perf,1.6,87.49,58178.83,0.2604,True
fig11_finish_time_fairness_0.6000000000000001jph_multi_s0,finish_time_fairness,0.6000000000000001,90.45,83379.84,0.2263,True
fig10_max_min_fairness_1.2jph_multi_s1,max_min_fairness,1.2,87.27,72674.35,0.4832,True
fig11_finish_time_fairness_0.6000000000000001jph_multi_s1,finish_time_fairness,0.6000000000000001,91.69,86886.97,0.2502,True
fig10_max_min_fairness_perf_1.4000000000000001jph_multi_s2,max_min_fairness_perf,1.4000000000000001,85.54,52609.84,0.4770,True
fig10_max_min_fairness_1.2jph_multi_s0,max_min_fairness,1.2,89.63,74782.15,0.4796,True
fig10_max_min_fairness_perf_1.8jph_multi_s2,max_min_fairness_perf,1.8,93.56,51876.90,0.6541,True
fig10_max_min_fairness_perf_1.6jph_multi_s0,max_min_fairness_perf,1.6,87.58,50830.82,0.4649,True
fig10_max_min_fairness_1.2jph_multi_s2,max_min_fairness,1.2,95.66,74310.99,0.5532,True
fig11_finish_time_fairness_perf_0.8jph_multi_s1,finish_time_fairness_perf,0.8,100.09,57097.53,0.2308,True
fig10_max_min_fairness_1.4000000000000001jph_multi_s0,max_min_fairness,1.4000000000000001,99.81,67593.81,0.5501,True
fig10_max_min_fairness_1.4000000000000001jph_multi_s1,max_min_fairness,1.4000000000000001,100.80,70395.94,0.5751,True
fig11_finish_time_fairness_perf_0.8jph_multi_s0,finish_time_fairness_perf,0.8,105.09,68275.81,0.2207,True
fig11_finish_time_fairness_0.6000000000000001jph_multi_s2,finish_time_fairness,0.6000000000000001,108.06,96693.43,0.2778,True
fig9_max_min_fairness_1.6jph_single_s0,max_min_fairness,1.6,105.31,69614.29,0.3293,True
fig9_max_min_fairness_0.8jph_single_s1,max_min_fairness,0.8,109.07,80275.00,0.1686,True
fig10_max_min_fairness_1.4000000000000001jph_multi_s2,max_min_fairness,1.4000000000000001,106.22,70807.27,0.6248,True
