proportion,scheduler,unalloc_gpu_pct,std
40,Random,14.26,0.27
40,BestFit,8.36,0.19
40,BestFit-PN,7.75,0.14
40,DotProd,11.39,0.36
40,Packing,7.07,0.12
40,Clustering,7.09,0.10
40,FGD,6.29,0.15
60,Random,16.63,0.28
60,BestFit,11.01,0.26
60,BestFit-PN,10.35,0.17
60,DotProd,14.26,0.36
60,Packing,9.71,0.12
60,Clustering,9.71,0.12
60,FGD,8.97,0.15
80,Random,19.16,0.45
80,BestFit,13.28,0.20
80,BestFit-PN,12.66,0.13
80,DotProd,16.62,0.28
80,Packing,11.93,0.12
80,Clustering,11.96,0.14
80,FGD,11.04,0.13
100,Random,20.89,0.42
100,BestFit,15.50,0.17
100,BestFit-PN,14.96,0.22
100,DotProd,18.92,0.30
100,Packing,14.31,0.16
100,Clustering,14.33,0.16
100,FGD,13.84,0.22
