scheduler,arrived_workload_pct,frag_rate,run
Random,5.0,15.010463108326377,0
Random,10.0,16.005944662739978,0
Random,15.0,17.020418301629743,0
Random,20.0,18.256997476387735,0
Random,25.0,19.229667836451046,0
Random,30.0,20.580259877190688,0
Random,35.0,21.84738124354117,0
Random,40.0,23.39637284192798,0
Random,45.0,25.461364943218324,0
Random,50.0,27.916570115288998,0
Random,55.0,31.253731642981545,0
Random,60.0,35.3624507511789,0
Random,65.0,40.31238663226873,0
Random,70.0,46.249718495874774,0
Random,75.0,55.43956872111732,0
Random,80.0,67.60323848974917,0
Random,85.0,86.91760398761753,0
Random,90.0,98.10295845351334,0
Random,95.0,98.89540296781479,0
Random,100.0,99.11447837240512,0
Random,105.0,99.26313707334927,0
Random,110.0,99.41607745036411,0
Random,115.0,99.47158595529315,0
Random,120.0,99.48446010203496,0
Random,5.0,15.014452690858048,1
Random,10.0,16.04279342680198,1
Random,15.0,17.089489258007266,1
Random,20.0,18.018537417489853,1
Random,25.0,19.213192304289915,1
Random,30.0,20.363100853791817,1
Random,35.0,21.64075955524875,1
Random,40.0,23.279816951078587,1
Random,45.0,25.09769858427736,1
Random,50.0,27.582351887132944,1
Random,55.0,30.765552751540977,1
Random,60.0,35.00135952446527,1
Random,65.0,40.47657700649996,1
Random,70.0,45.88268825274763,1
Random,75.0,54.77505132587407,1
Random,80.0,67.25115074030104,1
Random,85.0,85.32478921582884,1
Random,90.0,97.71230265106499,1
Random,95.0,98.97237391855928,1
Random,100.0,99.11694074441498,1
Random,105.0,99.23525817830637,1
Random,110.0,99.33713937297318,1
Random,115.0,99.44679739448891,1
Random,120.0,99.4864299070372,1
Random,5.0,15.132591877674006,2
Random,10.0,16.15302370513409,2
Random,15.0,17.171018849545955,2
Random,20.0,18.384634509954203,2
Random,25.0,19.502010716030803,2
Random,30.0,20.81733736363372,2
Random,35.0,22.226580813776987,2
Random,40.0,23.862445180103613,2
Random,45.0,25.700112233109206,2
Random,50.0,28.611433077326797,2
Random,55.0,31.351342981724617,2
Random,60.0,35.30847414336138,2
Random,65.0,39.88578368999787,2
Random,70.0,46.36117781427781,2
Random,75.0,55.04086258947797,2
Random,80.0,65.88699770682453,2
Random,85.0,82.91156275889536,2
Random,90.0,96.66534496344516,2
Random,95.0,98.83461087099506,2
Random,100.0,99.04160058990304,2
Random,105.0,99.23921529075837,2
Random,110.0,99.36364808482486,2
Random,115.0,99.45660497098918,2
Random,120.0,99.47473368593914,2
Random,5.0,14.848422888946825,3
Random,10.0,15.92870518433243,3
Random,15.0,17.041014993595244,3
Random,20.0,17.9979368661,3
Random,25.0,19.162651425101917,3
Random,30.0,20.59836261761853,3
Random,35.0,22.01448097868406,3
Random,40.0,23.556616302477714,3
Random,45.0,25.408961807150664,3
Random,50.0,28.434686792164353,3
Random,55.0,31.547036958574857,3
Random,60.0,35.945326882427516,3
Random,65.0,41.253243127884815,3
Random,70.0,47.808852216452905,3
Random,75.0,56.56098275506641,3
Random,80.0,68.73276862870154,3
Random,85.0,86.5795995782172,3
Random,90.0,98.4041874483254,3
Random,95.0,98.8759150525646,3
Random,100.0,99.010313290847,3
Random,105.0,99.17822356449666,3
Random,110.0,99.28247443267175,3
Random,115.0,99.40684614559277,3
Random,120.0,99.45968330616174,3
Random,5.0,14.955944654965004,4
Random,10.0,15.894408566205682,4
Random,15.0,16.9188376485213,4
Random,20.0,18.0232508361488,4
Random,25.0,19.21455878257182,4
Random,30.0,20.534528683060504,4
Random,35.0,22.012926441344124,4
Random,40.0,23.739676846304008,4
Random,45.0,25.76456740283637,4
Random,50.0,28.718182894035916,4
Random,55.0,32.010428388098155,4
Random,60.0,36.33293057649342,4
Random,65.0,41.5886424955981,4
Random,70.0,47.816739901315685,4
Random,75.0,56.86779441469736,4
Random,80.0,71.13380992017436,4
Random,85.0,92.18155860463287,4
Random,90.0,98.45416208337136,4
Random,95.0,99.05776905306487,4
Random,100.0,99.20803103299303,4
Random,105.0,99.3355935814245,4
Random,110.0,99.40906853319935,4
Random,115.0,99.44147140842264,4
Random,120.0,99.45266142056606,4
Random,5.0,14.882662970468596,5
Random,10.0,16.118048628174552,5
Random,15.0,17.10922613051672,5
Random,20.0,18.17854220427097,5
Random,25.0,19.23471580894519,5
Random,30.0,20.61763053172907,5
Random,35.0,22.056278821604423,5
Random,40.0,23.719794338292896,5
Random,45.0,25.95438792593382,5
Random,50.0,28.64582687393616,5
Random,55.0,31.482655367793893,5
Random,60.0,35.61628091242709,5
Random,65.0,40.93455634023306,5
Random,70.0,47.885322630708096,5
Random,75.0,57.4193122762658,5
Random,80.0,70.35663984886271,5
Random,85.0,86.99415179966643,5
Random,90.0,97.82718813681689,5
Random,95.0,98.85896310585743,5
Random,100.0,99.0549078336131,5
Random,105.0,99.20351115049185,5
Random,110.0,99.28805883469597,5
Random,115.0,99.38893013018271,5
Random,120.0,99.47121565317306,5
Random,5.0,14.844115960985796,6
Random,10.0,15.88787226578377,6
