scheduler,arrived_pct,occupied_nodes,run
Random,2.0,162,0
Random,4.0,297,0
Random,6.0,425,0
Random,8.0,545,0
Random,10.0,638,0
Random,12.0,727,0
Random,14.0,793,0
Random,16.0,851,0
Random,18.0,907,0
Random,20.0,944,0
Random,22.0,989,0
Random,24.0,1024,0
Random,26.0,1056,0
Random,28.0,1085,0
Random,30.0,1111,0
Random,32.0,1130,0
Random,34.0,1147,0
Random,36.0,1156,0
Random,38.0,1163,0
Random,40.0,1177,0
Random,42.0,1188,0
Random,44.0,1194,0
Random,46.0,1197,0
Random,48.0,1200,0
Random,50.0,1206,0
Random,52.0,1209,0
Random,54.0,1211,0
Random,56.0,1212,0
Random,58.0,1212,0
Random,60.0,1212,0
Random,62.0,1212,0
Random,64.0,1213,0
Random,66.0,1213,0
Random,68.0,1213,0
Random,70.0,1213,0
Random,72.0,1213,0
Random,74.0,1213,0
Random,76.0,1213,0
Random,78.0,1213,0
Random,80.0,1213,0
Random,82.0,1213,0
Random,84.0,1213,0
Random,86.0,1213,0
Random,88.0,1213,0
Random,90.0,1213,0
Random,92.0,1213,0
Random,94.0,1213,0
Random,96.0,1213,0
Random,98.0,1213,0
Random,100.0,1213,0
Random,102.0,1213,0
Random,104.0,1213,0
Random,106.0,1213,0
Random,108.0,1213,0
Random,110.0,1213,0
Random,112.0,1213,0
Random,114.0,1213,0
Random,116.0,1213,0
Random,118.0,1213,0
Random,120.0,1213,0
Random,2.0,166,1
Random,4.0,305,1
Random,6.0,437,1
Random,8.0,520,1
Random,10.0,615,1
Random,12.0,698,1
Random,14.0,756,1
Random,16.0,824,1
Random,18.0,871,1
Random,20.0,919,1
Random,22.0,961,1
Random,24.0,1000,1
Random,26.0,1040,1
Random,28.0,1075,1
Random,30.0,1099,1
Random,32.0,1120,1
Random,34.0,1133,1
Random,36.0,1145,1
Random,38.0,1153,1
Random,40.0,1161,1
Random,42.0,1167,1
Random,44.0,1177,1
Random,46.0,1185,1
Random,48.0,1194,1
Random,50.0,1197,1
Random,52.0,1204,1
Random,54.0,1208,1
Random,56.0,1208,1
Random,58.0,1208,1
Random,60.0,1210,1
Random,62.0,1211,1
Random,64.0,1211,1
Random,66.0,1211,1
Random,68.0,1212,1
Random,70.0,1212,1
Random,72.0,1212,1
Random,74.0,1212,1
Random,76.0,1213,1
Random,78.0,1213,1
Random,80.0,1213,1
Random,82.0,1213,1
Random,84.0,1213,1
Random,86.0,1213,1
Random,88.0,1213,1
Random,90.0,1213,1
