proportion,scheduler,unalloc_gpu_pct,std
40,Random,13.86,0.00
40,BestFit,8.34,0.00
40,BestFit-PN,7.95,0.00
40,DotProd,11.56,0.00
40,Packing,7.19,0.00
40,Clustering,7.25,0.00
40,FGD,6.83,0.00
60,Random,16.94,0.00
60,BestFit,11.53,0.00
60,BestFit-PN,10.26,0.00
60,DotProd,14.71,0.00
60,Packing,9.68,0.00
60,Clustering,9.65,0.00
60,FGD,9.36,0.00
80,Random,19.18,0.00
80,BestFit,13.16,0.00
80,BestFit-PN,12.53,0.00
80,DotProd,16.95,0.00
80,Packing,11.74,0.00
80,Clustering,11.78,0.00
80,FGD,11.35,0.00
100,Random,21.06,0.00
100,BestFit,15.84,0.00
100,BestFit-PN,14.87,0.00
100,DotProd,19.14,0.00
100,Packing,14.33,0.00
100,Clustering,14.45,0.00
100,FGD,13.72,0.00
