proportion,scheduler,unalloc_gpu_pct,std
10,Random,12.14,0.00
10,BestFit,6.91,0.00
10,BestFit-PN,6.14,0.00
10,DotProd,10.58,0.00
10,Packing,5.60,0.00
10,Clustering,5.79,0.00
10,FGD,5.49,0.00
20,Random,13.11,0.00
20,BestFit,11.92,0.00
20,BestFit-PN,6.19,0.00
20,DotProd,12.14,0.00
20,Packing,10.54,0.00
20,Clustering,10.67,0.00
20,FGD,5.20,0.00
25,Random,12.73,0.00
25,BestFit,13.92,0.00
25,BestFit-PN,7.42,0.00
25,DotProd,14.66,0.00
25,Packing,13.10,0.00
25,Clustering,13.22,0.00
25,FGD,5.51,0.00
33,Random,14.70,0.00
33,BestFit,18.87,0.00
33,BestFit-PN,13.23,0.00
33,DotProd,19.73,0.00
33,Packing,17.20,0.00
33,Clustering,17.35,0.00
33,FGD,11.37,0.00
40,Random,19.00,0.00
40,BestFit,24.53,0.00
40,BestFit-PN,19.06,0.00
40,DotProd,25.51,0.00
40,Packing,21.71,0.00
40,Clustering,22.98,0.00
40,FGD,17.44,0.00
50,Random,26.18,0.00
50,BestFit,31.37,0.00
50,BestFit-PN,26.43,0.00
50,DotProd,32.46,0.00
50,Packing,28.74,0.00
50,Clustering,30.07,0.00
50,FGD,25.20,0.00
60,Random,31.39,0.00
60,BestFit,36.56,0.00
60,BestFit-PN,32.20,0.00
60,DotProd,37.69,0.00
60,Packing,33.73,0.00
60,Clustering,34.86,0.00
60,FGD,30.92,0.00
