scheduler,arrived_pct,occupied_nodes,run
Random,2.0,161,0
Random,4.0,305,0
Random,6.0,423,0
Random,8.0,556,0
Random,10.0,638,0
Random,12.0,714,0
Random,14.0,779,0
Random,16.0,837,0
Random,18.0,890,0
Random,20.0,930,0
Random,22.0,971,0
Random,24.0,1011,0
Random,26.0,1043,0
Random,28.0,1065,0
Random,30.0,1093,0
Random,32.0,1107,0
Random,34.0,1128,0
Random,36.0,1147,0
Random,38.0,1161,0
Random,40.0,1176,0
Random,42.0,1183,0
Random,44.0,1190,0
Random,46.0,1193,0
Random,48.0,1197,0
Random,50.0,1200,0
Random,52.0,1201,0
Random,54.0,1202,0
Random,56.0,1204,0
Random,58.0,1208,0
Random,60.0,1210,0
Random,62.0,1210,0
Random,64.0,1210,0
Random,66.0,1210,0
Random,68.0,1211,0
Random,70.0,1211,0
Random,72.0,1211,0
Random,74.0,1211,0
Random,76.0,1211,0
Random,78.0,1211,0
Random,80.0,1211,0
Random,82.0,1212,0
Random,84.0,1212,0
Random,86.0,1213,0
Random,88.0,1213,0
Random,90.0,1213,0
Random,92.0,1213,0
Random,94.0,1213,0
Random,96.0,1213,0
Random,98.0,1213,0
Random,100.0,1213,0
Random,102.0,1213,0
Random,104.0,1213,0
Random,106.0,1213,0
Random,108.0,1213,0
Random,110.0,1213,0
Random,112.0,1213,0
Random,114.0,1213,0
Random,116.0,1213,0
Random,118.0,1213,0
Random,120.0,1213,0
BestFit,2.0,109,0
BestFit,4.0,170,0
BestFit,6.0,217,0
BestFit,8.0,282,0
BestFit,10.0,348,0
BestFit,12.0,413,0
BestFit,14.0,475,0
BestFit,16.0,531,0
BestFit,18.0,588,0
BestFit,20.0,613,0
BestFit,22.0,630,0
BestFit,24.0,646,0
BestFit,26.0,662,0
BestFit,28.0,678,0
BestFit,30.0,695,0
BestFit,32.0,711,0
BestFit,34.0,727,0
BestFit,36.0,744,0
BestFit,38.0,761,0
BestFit,40.0,777,0
BestFit,42.0,794,0
BestFit,44.0,811,0
BestFit,46.0,827,0
BestFit,48.0,844,0
BestFit,50.0,860,0
BestFit,52.0,877,0
BestFit,54.0,893,0
BestFit,56.0,909,0
BestFit,58.0,926,0
BestFit,60.0,942,0
BestFit,62.0,958,0
BestFit,64.0,975,0
BestFit,66.0,991,0
BestFit,68.0,1008,0
BestFit,70.0,1024,0
BestFit,72.0,1041,0
BestFit,74.0,1058,0
BestFit,76.0,1074,0
BestFit,78.0,1090,0
BestFit,80.0,1107,0
BestFit,82.0,1123,0
BestFit,84.0,1140,0
BestFit,86.0,1156,0
BestFit,88.0,1172,0
BestFit,90.0,1189,0
BestFit,92.0,1205,0
BestFit,94.0,1213,0
BestFit,96.0,1213,0
BestFit,98.0,1213,0
BestFit,100.0,1213,0
BestFit,102.0,1213,0
BestFit,104.0,1213,0
BestFit,106.0,1213,0
BestFit,108.0,1213,0
BestFit,110.0,1213,0
BestFit,112.0,1213,0
BestFit,114.0,1213,0
BestFit,116.0,1213,0
BestFit,118.0,1213,0
BestFit,120.0,1213,0
BestFit-PN,2.0,34,0
BestFit-PN,4.0,53,0
BestFit-PN,6.0,76,0
BestFit-PN,8.0,97,0
BestFit-PN,10.0,117,0
BestFit-PN,12.0,153,0
BestFit-PN,14.0,174,0
BestFit-PN,16.0,193,0
BestFit-PN,18.0,224,0
BestFit-PN,20.0,250,0
BestFit-PN,22.0,274,0
BestFit-PN,24.0,295,0
BestFit-PN,26.0,322,0
BestFit-PN,28.0,340,0
BestFit-PN,30.0,360,0
BestFit-PN,32.0,384,0
BestFit-PN,34.0,412,0
BestFit-PN,36.0,444,0
BestFit-PN,38.0,468,0
BestFit-PN,40.0,494,0
BestFit-PN,42.0,513,0
BestFit-PN,44.0,533,0
BestFit-PN,46.0,561,0
BestFit-PN,48.0,586,0
BestFit-PN,50.0,624,0
BestFit-PN,52.0,661,0
BestFit-PN,54.0,680,0
BestFit-PN,56.0,713,0
BestFit-PN,58.0,746,0
BestFit-PN,60.0,779,0
BestFit-PN,62.0,802,0
BestFit-PN,64.0,819,0
BestFit-PN,66.0,836,0
BestFit-PN,68.0,857,0
BestFit-PN,70.0,889,0
BestFit-PN,72.0,912,0
BestFit-PN,74.0,934,0
BestFit-PN,76.0,961,0
BestFit-PN,78.0,982,0
BestFit-PN,80.0,1007,0
BestFit-PN,82.0,1031,0
BestFit-PN,84.0,1052,0
BestFit-PN,86.0,1083,0
BestFit-PN,88.0,1111,0
BestFit-PN,90.0,1149,0
BestFit-PN,92.0,1189,0
BestFit-PN,94.0,1213,0
BestFit-PN,96.0,1213,0
BestFit-PN,98.0,1213,0
BestFit-PN,100.0,1213,0
BestFit-PN,102.0,1213,0
BestFit-PN,104.0,1213,0
BestFit-PN,106.0,1213,0
BestFit-PN,108.0,1213,0
BestFit-PN,110.0,1213,0
BestFit-PN,112.0,1213,0
BestFit-PN,114.0,1213,0
BestFit-PN,116.0,1213,0
BestFit-PN,118.0,1213,0
BestFit-PN,120.0,1213,0
DotProd,2.0,114,0
DotProd,4.0,185,0
DotProd,6.0,242,0
DotProd,8.0,309,0
DotProd,10.0,379,0
DotProd,12.0,444,0
DotProd,14.0,506,0
DotProd,16.0,562,0
DotProd,18.0,607,0
DotProd,20.0,624,0
DotProd,22.0,641,0
DotProd,24.0,657,0
DotProd,26.0,674,0
DotProd,28.0,691,0
DotProd,30.0,708,0
DotProd,32.0,724,0
DotProd,34.0,741,0
DotProd,36.0,758,0
DotProd,38.0,775,0
DotProd,40.0,792,0
DotProd,42.0,809,0
DotProd,44.0,826,0
DotProd,46.0,844,0
DotProd,48.0,861,0
DotProd,50.0,878,0
DotProd,52.0,896,0
DotProd,54.0,912,0
DotProd,56.0,929,0
DotProd,58.0,945,0
DotProd,60.0,963,0
DotProd,62.0,979,0
DotProd,64.0,996,0
DotProd,66.0,1013,0
DotProd,68.0,1030,0
DotProd,70.0,1047,0
DotProd,72.0,1064,0
DotProd,74.0,1081,0
DotProd,76.0,1098,0
DotProd,78.0,1115,0
DotProd,80.0,1134,0
DotProd,82.0,1151,0
DotProd,84.0,1168,0
DotProd,86.0,1184,0
DotProd,88.0,1200,0
DotProd,90.0,1213,0
DotProd,92.0,1213,0
DotProd,94.0,1213,0
DotProd,96.0,1213,0
DotProd,98.0,1213,0
DotProd,100.0,1213,0
DotProd,102.0,1213,0
DotProd,104.0,1213,0
DotProd,106.0,1213,0
DotProd,108.0,1213,0
DotProd,110.0,1213,0
DotProd,112.0,1213,0
DotProd,114.0,1213,0
DotProd,116.0,1213,0
DotProd,118.0,1213,0
DotProd,120.0,1213,0
Packing,2.0,81,0
Packing,4.0,148,0
Packing,6.0,211,0
Packing,8.0,279,0
Packing,10.0,346,0
Packing,12.0,412,0
Packing,14.0,478,0
Packing,16.0,534,0
Packing,18.0,574,0
Packing,20.0,606,0
Packing,22.0,622,0
Packing,24.0,639,0
Packing,26.0,655,0
Packing,28.0,671,0
Packing,30.0,688,0
Packing,32.0,704,0
Packing,34.0,720,0
Packing,36.0,737,0
Packing,38.0,754,0
Packing,40.0,770,0
Packing,42.0,786,0
Packing,44.0,803,0
Packing,46.0,819,0
Packing,48.0,836,0
Packing,50.0,852,0
Packing,52.0,869,0
Packing,54.0,885,0
Packing,56.0,901,0
Packing,58.0,917,0
Packing,60.0,934,0
Packing,62.0,950,0
Packing,64.0,966,0
Packing,66.0,983,0
Packing,68.0,999,0
Packing,70.0,1016,0
Packing,72.0,1032,0
Packing,74.0,1049,0
Packing,76.0,1065,0
Packing,78.0,1082,0
Packing,80.0,1098,0
Packing,82.0,1114,0
Packing,84.0,1131,0
Packing,86.0,1147,0
Packing,88.0,1163,0
Packing,90.0,1180,0
Packing,92.0,1196,0
Packing,94.0,1212,0
Packing,96.0,1213,0
Packing,98.0,1213,0
Packing,100.0,1213,0
Packing,102.0,1213,0
Packing,104.0,1213,0
Packing,106.0,1213,0
Packing,108.0,1213,0
Packing,110.0,1213,0
Packing,112.0,1213,0
Packing,114.0,1213,0
Packing,116.0,1213,0
