scheduler,gpu_category,sum_gpu_demand,run
Random,8,132.0,0
Random,1,349.0,0
Random,<1,54.040000000000006,0
Random,2,8.0,0
BestFit,<1,48.34,0
BestFit,1,118.0,0
BestFit,2,4.0,0
BestFit,8,8.0,0
BestFit-PN,1,104.0,0
BestFit-PN,<1,36.61999999999998,0
BestFit-PN,2,4.0,0
BestFit-PN,8,8.0,0
DotProd,1,267.0,0
DotProd,<1,100.81000000000003,0
DotProd,8,16.0,0
DotProd,2,8.0,0
Packing,1,77.0,0
Packing,<1,24.119999999999994,0
Packing,2,4.0,0
Packing,8,8.0,0
Clustering,1,74.0,0
Clustering,<1,23.789999999999996,0
Clustering,2,4.0,0
Clustering,8,8.0,0
FGD,1,67.0,0
FGD,2,4.0,0
FGD,<1,18.030000000000005,0
FGD,8,8.0,0
