scheduler,cause,pct,run
Random,deficient,36.78472516627024,0
Random,stranded,49.79542354934935,0
Random,non_gpu,13.419851284380407,0
BestFit,deficient,60.13863729376035,0
BestFit,stranded,26.465777451207234,0
BestFit,non_gpu,13.395585255032419,0
BestFit-PN,deficient,68.96826341069978,0
BestFit-PN,stranded,17.647053302562007,0
BestFit-PN,non_gpu,13.384683286738221,0
DotProd,deficient,38.01236736474552,0
DotProd,stranded,48.58559889409166,0
DotProd,non_gpu,13.402033741162834,0
Packing,deficient,70.3733227347581,0
Packing,stranded,16.226616657685575,0
Packing,non_gpu,13.400060607556322,0
Clustering,deficient,71.2693275442415,0
Clustering,stranded,15.286809523374439,0
Clustering,non_gpu,13.443862932384052,0
FGD,deficient,68.05579533290927,0
FGD,stranded,18.488743879427936,0
FGD,non_gpu,13.455460787662805,0
