scheduler,arrived_pct,occupied_nodes,run
Random,2.0,832,0
Random,4.0,899,0
Random,6.0,938,0
Random,8.0,982,0
Random,10.0,1014,0
Random,12.0,1027,0
Random,14.0,1037,0
Random,16.0,1045,0
Random,18.0,1053,0
Random,20.0,1059,0
Random,22.0,1069,0
Random,24.0,1073,0
Random,26.0,1078,0
Random,28.0,1081,0
Random,30.0,1085,0
Random,32.0,1086,0
Random,34.0,1087,0
Random,36.0,1088,0
Random,38.0,1089,0
Random,40.0,1090,0
Random,42.0,1091,0
Random,44.0,1093,0
Random,46.0,1094,0
Random,48.0,1095,0
Random,50.0,1095,0
Random,52.0,1097,0
Random,54.0,1098,0
Random,56.0,1098,0
Random,58.0,1099,0
Random,60.0,1099,0
Random,62.0,1099,0
Random,64.0,1099,0
Random,66.0,1099,0
Random,68.0,1099,0
Random,70.0,1099,0
Random,72.0,1099,0
Random,74.0,1099,0
Random,76.0,1099,0
Random,78.0,1099,0
Random,80.0,1099,0
Random,82.0,1099,0
Random,84.0,1099,0
Random,86.0,1099,0
Random,88.0,1099,0
Random,90.0,1099,0
Random,92.0,1099,0
Random,94.0,1099,0
Random,96.0,1099,0
Random,98.0,1099,0
Random,100.0,1099,0
Random,102.0,1099,0
Random,104.0,1099,0
Random,106.0,1099,0
Random,108.0,1099,0
Clustering,2.0,340,0
Clustering,4.0,402,0
Clustering,6.0,463,0
Clustering,8.0,527,0
Clustering,10.0,560,0
Clustering,12.0,579,0
Clustering,14.0,601,0
Clustering,16.0,621,0
Clustering,18.0,638,0
Clustering,20.0,655,0
Clustering,22.0,673,0
Clustering,24.0,690,0
Clustering,26.0,707,0
Clustering,28.0,725,0
Clustering,30.0,742,0
Clustering,32.0,755,0
Clustering,34.0,769,0
Clustering,36.0,783,0
Clustering,38.0,797,0
Clustering,40.0,811,0
Clustering,42.0,825,0
Clustering,44.0,839,0
Clustering,46.0,853,0
Clustering,48.0,867,0
Clustering,50.0,881,0
Clustering,52.0,895,0
Clustering,54.0,909,0
Clustering,56.0,923,0
Clustering,58.0,937,0
Clustering,60.0,952,0
Clustering,62.0,966,0
Clustering,64.0,980,0
Clustering,66.0,994,0
Clustering,68.0,1008,0
Clustering,70.0,1022,0
Clustering,72.0,1036,0
Clustering,74.0,1050,0
Clustering,76.0,1064,0
Clustering,78.0,1078,0
Clustering,80.0,1092,0
Clustering,82.0,1100,0
Clustering,84.0,1100,0
Clustering,86.0,1100,0
Clustering,88.0,1100,0
Clustering,90.0,1100,0
Clustering,92.0,1100,0
Clustering,94.0,1100,0
Clustering,96.0,1100,0
Clustering,98.0,1100,0
Clustering,100.0,1100,0
Clustering,102.0,1100,0
Clustering,104.0,1100,0
Clustering,106.0,1100,0
Clustering,108.0,1100,0
FGD-Full,2.0,404,0
FGD-Full,4.0,404,0
FGD-Full,6.0,408,0
FGD-Full,8.0,436,0
FGD-Full,10.0,476,0
FGD-Full,12.0,523,0
FGD-Full,14.0,562,0
FGD-Full,16.0,596,0
FGD-Full,18.0,606,0
FGD-Full,20.0,623,0
FGD-Full,22.0,641,0
FGD-Full,24.0,658,0
FGD-Full,26.0,675,0
FGD-Full,28.0,693,0
FGD-Full,30.0,710,0
FGD-Full,32.0,749,0
FGD-Full,34.0,806,0
FGD-Full,36.0,862,0
FGD-Full,38.0,918,0
FGD-Full,40.0,975,0
FGD-Full,42.0,1031,0
FGD-Full,44.0,1069,0
FGD-Full,46.0,1083,0
FGD-Full,48.0,1097,0
FGD-Full,50.0,1100,0
FGD-Full,52.0,1100,0
FGD-Full,54.0,1100,0
FGD-Full,56.0,1100,0
FGD-Full,58.0,1100,0
FGD-Full,60.0,1100,0
FGD-Full,62.0,1100,0
FGD-Full,64.0,1100,0
FGD-Full,66.0,1100,0
FGD-Full,68.0,1100,0
FGD-Full,70.0,1100,0
FGD-Full,72.0,1100,0
FGD-Full,74.0,1100,0
FGD-Full,76.0,1100,0
FGD-Full,78.0,1100,0
FGD-Full,80.0,1100,0
FGD-Full,82.0,1100,0
FGD-Full,84.0,1100,0
FGD-Full,86.0,1100,0
FGD-Full,88.0,1100,0
FGD-Full,90.0,1100,0
FGD-Full,92.0,1100,0
FGD-Full,94.0,1100,0
FGD-Full,96.0,1100,0
FGD-Full,98.0,1100,0
FGD-Full,100.0,1100,0
FGD-Full,102.0,1100,0
FGD-Full,104.0,1100,0
FGD-Full,106.0,1100,0
FGD-Full,108.0,1100,0
FGD-2000,2.0,387,0
FGD-2000,4.0,387,0
FGD-2000,6.0,413,0
FGD-2000,8.0,444,0
FGD-2000,10.0,478,0
FGD-2000,12.0,495,0
