scheduler,arrived_pct,occupied_nodes,run
Random,2.0,15,0
Random,4.0,29,0
Random,6.0,43,0
Random,8.0,81,0
Random,10.0,184,0
Random,12.0,278,0
Random,14.0,357,0
Random,16.0,437,0
Random,18.0,507,0
Random,20.0,568,0
Random,22.0,622,0
Random,24.0,671,0
Random,26.0,716,0
Random,28.0,764,0
Random,30.0,806,0
Random,32.0,843,0
Random,34.0,882,0
Random,36.0,910,0
Random,38.0,936,0
Random,40.0,960,0
Random,42.0,975,0
Random,44.0,983,0
Random,46.0,998,0
Random,48.0,1020,0
Random,50.0,1027,0
Random,52.0,1036,0
Random,54.0,1044,0
Random,56.0,1051,0
Random,58.0,1057,0
Random,60.0,1066,0
Random,62.0,1071,0
Random,64.0,1077,0
Random,66.0,1082,0
Random,68.0,1085,0
Random,70.0,1088,0
Random,72.0,1091,0
Random,74.0,1093,0
Random,76.0,1095,0
Random,78.0,1095,0
Random,80.0,1096,0
Random,82.0,1099,0
Random,84.0,1099,0
Random,86.0,1099,0
Random,88.0,1099,0
Random,90.0,1100,0
Random,92.0,1100,0
Random,94.0,1100,0
Random,96.0,1100,0
Random,98.0,1100,0
Random,100.0,1100,0
Random,102.0,1100,0
Random,104.0,1100,0
Random,106.0,1100,0
Random,108.0,1100,0
Clustering,2.0,15,0
Clustering,4.0,29,0
Clustering,6.0,43,0
Clustering,8.0,80,0
Clustering,10.0,136,0
Clustering,12.0,192,0
Clustering,14.0,250,0
Clustering,16.0,352,0
Clustering,18.0,408,0
Clustering,20.0,465,0
Clustering,22.0,521,0
Clustering,24.0,565,0
Clustering,26.0,581,0
Clustering,28.0,595,0
Clustering,30.0,609,0
Clustering,32.0,623,0
Clustering,34.0,637,0
Clustering,36.0,651,0
Clustering,38.0,665,0
Clustering,40.0,679,0
Clustering,42.0,693,0
Clustering,44.0,707,0
Clustering,46.0,721,0
Clustering,48.0,735,0
Clustering,50.0,750,0
Clustering,52.0,764,0
Clustering,54.0,778,0
Clustering,56.0,792,0
Clustering,58.0,806,0
Clustering,60.0,836,0
Clustering,62.0,850,0
Clustering,64.0,864,0
Clustering,66.0,877,0
Clustering,68.0,892,0
Clustering,70.0,906,0
Clustering,72.0,920,0
Clustering,74.0,934,0
Clustering,76.0,948,0
Clustering,78.0,962,0
Clustering,80.0,980,0
Clustering,82.0,997,0
Clustering,84.0,1014,0
Clustering,86.0,1032,0
Clustering,88.0,1049,0
Clustering,90.0,1067,0
Clustering,92.0,1084,0
Clustering,94.0,1100,0
Clustering,96.0,1100,0
Clustering,98.0,1100,0
Clustering,100.0,1100,0
Clustering,102.0,1100,0
Clustering,104.0,1100,0
Clustering,106.0,1100,0
Clustering,108.0,1100,0
FGD-Full,2.0,15,0
FGD-Full,4.0,29,0
FGD-Full,6.0,43,0
FGD-Full,8.0,79,0
FGD-Full,10.0,116,0
FGD-Full,12.0,154,0
FGD-Full,14.0,191,0
FGD-Full,16.0,206,0
FGD-Full,18.0,227,0
FGD-Full,20.0,255,0
FGD-Full,22.0,280,0
FGD-Full,24.0,300,0
FGD-Full,26.0,318,0
FGD-Full,28.0,337,0
FGD-Full,30.0,356,0
FGD-Full,32.0,375,0
FGD-Full,34.0,393,0
FGD-Full,36.0,412,0
FGD-Full,38.0,431,0
FGD-Full,40.0,450,0
FGD-Full,42.0,468,0
FGD-Full,44.0,487,0
FGD-Full,46.0,506,0
FGD-Full,48.0,525,0
FGD-Full,50.0,543,0
FGD-Full,52.0,562,0
FGD-Full,54.0,584,0
FGD-Full,56.0,640,0
