scheduler,arrived_pct,occupied_nodes,run
Random,2.0,820,0
Random,4.0,887,0
Random,6.0,942,0
Random,8.0,993,0
Random,10.0,1021,0
Random,12.0,1042,0
Random,14.0,1049,0
Random,16.0,1058,0
Random,18.0,1065,0
Random,20.0,1071,0
Random,22.0,1077,0
Random,24.0,1081,0
Random,26.0,1083,0
Random,28.0,1089,0
Random,30.0,1091,0
Random,32.0,1092,0
Random,34.0,1093,0
Random,36.0,1093,0
Random,38.0,1094,0
Random,40.0,1094,0
Random,42.0,1094,0
Random,44.0,1094,0
Random,46.0,1094,0
Random,48.0,1094,0
Random,50.0,1094,0
Random,52.0,1094,0
Random,54.0,1095,0
Random,56.0,1097,0
Random,58.0,1097,0
Random,60.0,1097,0
Random,62.0,1097,0
Random,64.0,1097,0
Random,66.0,1097,0
Random,68.0,1097,0
Random,70.0,1097,0
Random,72.0,1097,0
Random,74.0,1098,0
Random,76.0,1098,0
Random,78.0,1099,0
Random,80.0,1099,0
Random,82.0,1099,0
Random,84.0,1100,0
Random,86.0,1100,0
Random,88.0,1100,0
Random,90.0,1100,0
Random,92.0,1100,0
Random,94.0,1100,0
Random,96.0,1100,0
Random,98.0,1100,0
Random,100.0,1100,0
Random,102.0,1100,0
Random,104.0,1100,0
Random,106.0,1100,0
Random,108.0,1100,0
Clustering,2.0,359,0
Clustering,4.0,414,0
Clustering,6.0,474,0
Clustering,8.0,530,0
Clustering,10.0,557,0
Clustering,12.0,569,0
Clustering,14.0,585,0
Clustering,16.0,604,0
Clustering,18.0,622,0
Clustering,20.0,641,0
Clustering,22.0,659,0
Clustering,24.0,678,0
Clustering,26.0,696,0
Clustering,28.0,714,0
Clustering,30.0,733,0
Clustering,32.0,749,0
Clustering,34.0,763,0
Clustering,36.0,778,0
Clustering,38.0,792,0
Clustering,40.0,807,0
Clustering,42.0,821,0
Clustering,44.0,835,0
Clustering,46.0,849,0
Clustering,48.0,863,0
Clustering,50.0,877,0
Clustering,52.0,891,0
Clustering,54.0,905,0
Clustering,56.0,920,0
Clustering,58.0,934,0
Clustering,60.0,948,0
Clustering,62.0,962,0
Clustering,64.0,976,0
Clustering,66.0,990,0
Clustering,68.0,1004,0
Clustering,70.0,1019,0
Clustering,72.0,1032,0
Clustering,74.0,1047,0
Clustering,76.0,1061,0
Clustering,78.0,1075,0
Clustering,80.0,1089,0
Clustering,82.0,1100,0
Clustering,84.0,1100,0
Clustering,86.0,1100,0
Clustering,88.0,1100,0
Clustering,90.0,1100,0
Clustering,92.0,1100,0
Clustering,94.0,1100,0
Clustering,96.0,1100,0
Clustering,98.0,1100,0
Clustering,100.0,1100,0
Clustering,102.0,1100,0
Clustering,104.0,1100,0
Clustering,106.0,1100,0
Clustering,108.0,1100,0
FGD-Full,2.0,361,0
FGD-Full,4.0,387,0
FGD-Full,6.0,416,0
FGD-Full,8.0,449,0
FGD-Full,10.0,478,0
FGD-Full,12.0,525,0
FGD-Full,14.0,568,0
FGD-Full,16.0,586,0
FGD-Full,18.0,604,0
FGD-Full,20.0,621,0
FGD-Full,22.0,639,0
FGD-Full,24.0,657,0
FGD-Full,26.0,675,0
FGD-Full,28.0,694,0
FGD-Full,30.0,712,0
FGD-Full,32.0,772,0
FGD-Full,34.0,827,0
FGD-Full,36.0,883,0
FGD-Full,38.0,940,0
FGD-Full,40.0,996,0
FGD-Full,42.0,1052,0
FGD-Full,44.0,1074,0
FGD-Full,46.0,1087,0
FGD-Full,48.0,1100,0
FGD-Full,50.0,1100,0
FGD-Full,52.0,1100,0
FGD-Full,54.0,1100,0
FGD-Full,56.0,1100,0
FGD-Full,58.0,1100,0
FGD-Full,60.0,1100,0
FGD-Full,62.0,1100,0
FGD-Full,64.0,1100,0
FGD-Full,66.0,1100,0
FGD-Full,68.0,1100,0
FGD-Full,70.0,1100,0
FGD-Full,72.0,1100,0
FGD-Full,74.0,1100,0
FGD-Full,76.0,1100,0
FGD-Full,78.0,1100,0
FGD-Full,80.0,1100,0
FGD-Full,82.0,1100,0
FGD-Full,84.0,1100,0
FGD-Full,86.0,1100,0
FGD-Full,88.0,1100,0
FGD-Full,90.0,1100,0
FGD-Full,92.0,1100,0
FGD-Full,94.0,1100,0
FGD-Full,96.0,1100,0
FGD-Full,98.0,1100,0
FGD-Full,100.0,1100,0
FGD-Full,102.0,1100,0
FGD-Full,104.0,1100,0
FGD-Full,106.0,1100,0
FGD-Full,108.0,1100,0
FGD-2000,2.0,392,0
FGD-2000,4.0,419,0
FGD-2000,6.0,448,0
FGD-2000,8.0,481,0
FGD-2000,10.0,508,0
FGD-2000,12.0,526,0
FGD-2000,14.0,541,0
FGD-2000,16.0,559,0
FGD-2000,18.0,577,0
FGD-2000,20.0,596,0
FGD-2000,22.0,614,0
FGD-2000,24.0,633,0
FGD-2000,26.0,651,0
FGD-2000,28.0,670,0
FGD-2000,30.0,688,0
FGD-2000,32.0,704,0
FGD-2000,34.0,740,0
FGD-2000,36.0,796,0
FGD-2000,38.0,853,0
FGD-2000,40.0,909,0
FGD-2000,42.0,965,0
FGD-2000,44.0,1020,0
FGD-2000,46.0,1064,0
FGD-2000,48.0,1078,0
FGD-2000,50.0,1092,0
FGD-2000,52.0,1100,0
FGD-2000,54.0,1100,0
FGD-2000,56.0,1100,0
FGD-2000,58.0,1100,0
FGD-2000,60.0,1100,0
FGD-2000,62.0,1100,0
FGD-2000,64.0,1100,0
FGD-2000,66.0,1100,0
FGD-2000,68.0,1100,0
FGD-2000,70.0,1100,0
FGD-2000,72.0,1100,0
FGD-2000,74.0,1100,0
FGD-2000,76.0,1100,0
FGD-2000,78.0,1100,0
FGD-2000,80.0,1100,0
FGD-2000,82.0,1100,0
FGD-2000,84.0,1100,0
FGD-2000,86.0,1100,0
FGD-2000,88.0,1100,0
FGD-2000,90.0,1100,0
FGD-2000,92.0,1100,0
FGD-2000,94.0,1100,0
FGD-2000,96.0,1100,0
FGD-2000,98.0,1100,0
FGD-2000,100.0,1100,0
FGD-2000,102.0,1100,0
FGD-2000,104.0,1100,0
FGD-2000,106.0,1100,0
FGD-2000,108.0,1100,0
