scheduler,arrived_pct,occupied_nodes,run
Random,2.0,122,0
Random,4.0,247,0
Random,6.0,355,0
Random,8.0,450,0
Random,10.0,545,0
Random,12.0,631,0
Random,14.0,702,0
Random,16.0,763,0
Random,18.0,822,0
Random,20.0,862,0
Random,22.0,908,0
Random,24.0,937,0
Random,26.0,969,0
Random,28.0,996,0
Random,30.0,1017,0
Random,32.0,1026,0
Random,34.0,1039,0
Random,36.0,1053,0
Random,38.0,1057,0
Random,40.0,1061,0
Random,42.0,1067,0
Random,44.0,1076,0
Random,46.0,1083,0
Random,48.0,1084,0
Random,50.0,1089,0
Random,52.0,1091,0
Random,54.0,1094,0
Random,56.0,1095,0
Random,58.0,1095,0
Random,60.0,1098,0
Random,62.0,1098,0
Random,64.0,1099,0
Random,66.0,1099,0
Random,68.0,1099,0
Random,70.0,1100,0
Random,72.0,1100,0
Random,74.0,1100,0
Random,76.0,1100,0
Random,78.0,1100,0
Random,80.0,1100,0
Random,82.0,1100,0
Random,84.0,1100,0
Random,86.0,1100,0
Random,88.0,1100,0
Random,90.0,1100,0
Random,92.0,1100,0
Random,94.0,1100,0
Random,96.0,1100,0
Random,98.0,1100,0
Random,100.0,1100,0
Random,102.0,1100,0
Random,104.0,1100,0
Random,106.0,1100,0
Random,108.0,1100,0
Clustering,2.0,79,0
Clustering,4.0,142,0
Clustering,6.0,193,0
Clustering,8.0,252,0
Clustering,10.0,310,0
Clustering,12.0,367,0
Clustering,14.0,426,0
Clustering,16.0,485,0
Clustering,18.0,524,0
Clustering,20.0,550,0
Clustering,22.0,566,0
Clustering,24.0,581,0
Clustering,26.0,596,0
Clustering,28.0,610,0
Clustering,30.0,624,0
Clustering,32.0,639,0
Clustering,34.0,654,0
Clustering,36.0,668,0
Clustering,38.0,684,0
Clustering,40.0,700,0
Clustering,42.0,715,0
Clustering,44.0,730,0
Clustering,46.0,745,0
Clustering,48.0,761,0
Clustering,50.0,776,0
Clustering,52.0,790,0
Clustering,54.0,806,0
Clustering,56.0,821,0
Clustering,58.0,836,0
Clustering,60.0,851,0
Clustering,62.0,866,0
Clustering,64.0,880,0
Clustering,66.0,895,0
Clustering,68.0,911,0
Clustering,70.0,926,0
Clustering,72.0,941,0
Clustering,74.0,957,0
Clustering,76.0,972,0
Clustering,78.0,987,0
Clustering,80.0,1005,0
Clustering,82.0,1021,0
Clustering,84.0,1037,0
Clustering,86.0,1053,0
Clustering,88.0,1068,0
Clustering,90.0,1083,0
Clustering,92.0,1098,0
Clustering,94.0,1100,0
Clustering,96.0,1100,0
Clustering,98.0,1100,0
Clustering,100.0,1100,0
Clustering,102.0,1100,0
Clustering,104.0,1100,0
Clustering,106.0,1100,0
Clustering,108.0,1100,0
FGD-Full,2.0,75,0
FGD-Full,4.0,136,0
FGD-Full,6.0,180,0
FGD-Full,8.0,207,0
FGD-Full,10.0,219,0
FGD-Full,12.0,233,0
FGD-Full,14.0,248,0
FGD-Full,16.0,263,0
FGD-Full,18.0,279,0
FGD-Full,20.0,296,0
FGD-Full,22.0,311,0
FGD-Full,24.0,327,0
FGD-Full,26.0,345,0
FGD-Full,28.0,366,0
FGD-Full,30.0,387,0
FGD-Full,32.0,404,0
FGD-Full,34.0,424,0
FGD-Full,36.0,447,0
FGD-Full,38.0,471,0
FGD-Full,40.0,499,0
FGD-Full,42.0,510,0
FGD-Full,44.0,524,0
FGD-Full,46.0,539,0
FGD-Full,48.0,559,0
FGD-Full,50.0,578,0
FGD-Full,52.0,597,0
FGD-Full,54.0,613,0
FGD-Full,56.0,629,0
FGD-Full,58.0,654,0
FGD-Full,60.0,675,0
FGD-Full,62.0,694,0
FGD-Full,64.0,709,0
FGD-Full,66.0,743,0
FGD-Full,68.0,795,0
FGD-Full,70.0,848,0
FGD-Full,72.0,906,0
FGD-Full,74.0,960,0
FGD-Full,76.0,1015,0
FGD-Full,78.0,1069,0
FGD-Full,80.0,1083,0
FGD-Full,82.0,1097,0
FGD-Full,84.0,1100,0
FGD-Full,86.0,1100,0
FGD-Full,88.0,1100,0
FGD-Full,90.0,1100,0
FGD-Full,92.0,1100,0
FGD-Full,94.0,1100,0
FGD-Full,96.0,1100,0
FGD-Full,98.0,1100,0
FGD-Full,100.0,1100,0
FGD-Full,102.0,1100,0
FGD-Full,104.0,1100,0
FGD-Full,106.0,1100,0
FGD-Full,108.0,1100,0
FGD-2000,2.0,74,0
FGD-2000,4.0,135,0
FGD-2000,6.0,178,0
FGD-2000,8.0,208,0
FGD-2000,10.0,219,0
FGD-2000,12.0,233,0
FGD-2000,14.0,248,0
FGD-2000,16.0,263,0
FGD-2000,18.0,278,0
FGD-2000,20.0,295,0
FGD-2000,22.0,310,0
FGD-2000,24.0,325,0
FGD-2000,26.0,340,0
FGD-2000,28.0,362,0
FGD-2000,30.0,382,0
FGD-2000,32.0,399,0
FGD-2000,34.0,419,0
FGD-2000,36.0,442,0
FGD-2000,38.0,466,0
FGD-2000,40.0,493,0
FGD-2000,42.0,504,0
FGD-2000,44.0,517,0
FGD-2000,46.0,533,0
FGD-2000,48.0,550,0
FGD-2000,50.0,566,0
FGD-2000,52.0,586,0
FGD-2000,54.0,600,0
FGD-2000,56.0,616,0
FGD-2000,58.0,640,0
FGD-2000,60.0,660,0
FGD-2000,62.0,677,0
FGD-2000,64.0,692,0
FGD-2000,66.0,712,0
FGD-2000,68.0,757,0
FGD-2000,70.0,810,0
FGD-2000,72.0,868,0
FGD-2000,74.0,922,0
FGD-2000,76.0,979,0
FGD-2000,78.0,1035,0
FGD-2000,80.0,1073,0
FGD-2000,82.0,1087,0
FGD-2000,84.0,1100,0
FGD-2000,86.0,1100,0
FGD-2000,88.0,1100,0
FGD-2000,90.0,1100,0
FGD-2000,92.0,1100,0
FGD-2000,94.0,1100,0
FGD-2000,96.0,1100,0
FGD-2000,98.0,1100,0
FGD-2000,100.0,1100,0
FGD-2000,102.0,1100,0
FGD-2000,104.0,1100,0
FGD-2000,106.0,1100,0
FGD-2000,108.0,1100,0
