scheduler,arrived_pct,occupied_nodes,run
Random,2.0,170,0
Random,4.0,305,0
Random,6.0,423,0
Random,8.0,548,0
Random,10.0,634,0
Random,12.0,719,0
Random,14.0,789,0
Random,16.0,840,0
Random,18.0,889,0
Random,20.0,925,0
Random,22.0,966,0
Random,24.0,1012,0
Random,26.0,1048,0
Random,28.0,1078,0
Random,30.0,1097,0
Random,32.0,1114,0
Random,34.0,1135,0
Random,36.0,1150,0
Random,38.0,1161,0
Random,40.0,1167,0
Random,42.0,1177,0
Random,44.0,1184,0
Random,46.0,1192,0
Random,48.0,1197,0
Random,50.0,1202,0
Random,52.0,1205,0
Random,54.0,1205,0
Random,56.0,1205,0
Random,58.0,1206,0
Random,60.0,1208,0
Random,62.0,1208,0
Random,64.0,1210,0
Random,66.0,1211,0
Random,68.0,1211,0
Random,70.0,1212,0
Random,72.0,1212,0
Random,74.0,1212,0
Random,76.0,1212,0
Random,78.0,1213,0
Random,80.0,1213,0
Random,82.0,1213,0
Random,84.0,1213,0
Random,86.0,1213,0
Random,88.0,1213,0
Random,90.0,1213,0
Random,92.0,1213,0
Random,94.0,1213,0
Random,96.0,1213,0
Random,98.0,1213,0
Random,100.0,1213,0
Random,102.0,1213,0
Random,104.0,1213,0
Random,106.0,1213,0
Random,108.0,1213,0
Random,110.0,1213,0
Random,112.0,1213,0
Random,114.0,1213,0
Random,116.0,1213,0
Random,118.0,1213,0
Random,120.0,1213,0
Random,2.0,158,1
Random,4.0,298,1
Random,6.0,438,1
Random,8.0,534,1
Random,10.0,635,1
Random,12.0,714,1
Random,14.0,786,1
Random,16.0,856,1
Random,18.0,903,1
Random,20.0,940,1
Random,22.0,981,1
Random,24.0,1016,1
Random,26.0,1051,1
Random,28.0,1082,1
Random,30.0,1097,1
Random,32.0,1117,1
Random,34.0,1132,1
Random,36.0,1142,1
Random,38.0,1154,1
Random,40.0,1162,1
Random,42.0,1173,1
Random,44.0,1176,1
Random,46.0,1182,1
Random,48.0,1187,1
Random,50.0,1197,1
Random,52.0,1201,1
Random,54.0,1204,1
Random,56.0,1206,1
Random,58.0,1208,1
Random,60.0,1209,1
Random,62.0,1210,1
Random,64.0,1210,1
Random,66.0,1211,1
Random,68.0,1211,1
Random,70.0,1211,1
Random,72.0,1211,1
Random,74.0,1211,1
Random,76.0,1213,1
Random,78.0,1213,1
Random,80.0,1213,1
Random,82.0,1213,1
Random,84.0,1213,1
Random,86.0,1213,1
Random,88.0,1213,1
Random,90.0,1213,1
Random,92.0,1213,1
Random,94.0,1213,1
Random,96.0,1213,1
Random,98.0,1213,1
Random,100.0,1213,1
Random,102.0,1213,1
Random,104.0,1213,1
Random,106.0,1213,1
Random,108.0,1213,1
Random,110.0,1213,1
Random,112.0,1213,1
Random,114.0,1213,1
Random,116.0,1213,1
Random,118.0,1213,1
Random,120.0,1213,1
Random,2.0,159,2
Random,4.0,282,2
Random,6.0,418,2
Random,8.0,531,2
Random,10.0,611,2
Random,12.0,707,2
Random,14.0,790,2
Random,16.0,849,2
Random,18.0,899,2
Random,20.0,954,2
Random,22.0,1000,2
Random,24.0,1035,2
Random,26.0,1062,2
Random,28.0,1085,2
Random,30.0,1112,2
Random,32.0,1126,2
Random,34.0,1142,2
Random,36.0,1152,2
Random,38.0,1161,2
Random,40.0,1173,2
Random,42.0,1178,2
Random,44.0,1184,2
Random,46.0,1190,2
Random,48.0,1194,2
Random,50.0,1196,2
Random,52.0,1202,2
Random,54.0,1205,2
Random,56.0,1206,2
Random,58.0,1206,2
Random,60.0,1208,2
Random,62.0,1210,2
Random,64.0,1210,2
Random,66.0,1210,2
Random,68.0,1211,2
Random,70.0,1212,2
Random,72.0,1212,2
Random,74.0,1212,2
Random,76.0,1212,2
Random,78.0,1212,2
Random,80.0,1212,2
Random,82.0,1212,2
Random,84.0,1212,2
Random,86.0,1212,2
Random,88.0,1213,2
Random,90.0,1213,2
Random,92.0,1213,2
Random,94.0,1213,2
Random,96.0,1213,2
Random,98.0,1213,2
Random,100.0,1213,2
Random,102.0,1213,2
Random,104.0,1213,2
Random,106.0,1213,2
Random,108.0,1213,2
Random,110.0,1213,2
Random,112.0,1213,2
Random,114.0,1213,2
Random,116.0,1213,2
Random,118.0,1213,2
Random,120.0,1213,2
Random,2.0,161,3
Random,4.0,309,3
Random,6.0,428,3
Random,8.0,538,3
Random,10.0,633,3
Random,12.0,714,3
Random,14.0,789,3
Random,16.0,844,3
Random,18.0,897,3
Random,20.0,935,3
Random,22.0,981,3
Random,24.0,1015,3
Random,26.0,1039,3
Random,28.0,1064,3
Random,30.0,1096,3
Random,32.0,1121,3
Random,34.0,1134,3
Random,36.0,1151,3
Random,38.0,1164,3
Random,40.0,1173,3
Random,42.0,1180,3
Random,44.0,1187,3
Random,46.0,1191,3
Random,48.0,1195,3
Random,50.0,1200,3
Random,52.0,1205,3
Random,54.0,1206,3
Random,56.0,1207,3
Random,58.0,1208,3
Random,60.0,1209,3
Random,62.0,1210,3
Random,64.0,1210,3
Random,66.0,1211,3
Random,68.0,1211,3
Random,70.0,1211,3
Random,72.0,1212,3
Random,74.0,1212,3
Random,76.0,1212,3
Random,78.0,1212,3
Random,80.0,1213,3
Random,82.0,1213,3
Random,84.0,1213,3
Random,86.0,1213,3
Random,88.0,1213,3
Random,90.0,1213,3
Random,92.0,1213,3
Random,94.0,1213,3
Random,96.0,1213,3
Random,98.0,1213,3
Random,100.0,1213,3
Random,102.0,1213,3
Random,104.0,1213,3
Random,106.0,1213,3
Random,108.0,1213,3
Random,110.0,1213,3
Random,112.0,1213,3
Random,114.0,1213,3
Random,116.0,1213,3
Random,118.0,1213,3
Random,120.0,1213,3
Random,2.0,168,4
Random,4.0,292,4
Random,6.0,407,4
Random,8.0,508,4
Random,10.0,594,4
Random,12.0,682,4
Random,14.0,753,4
Random,16.0,814,4
Random,18.0,873,4
Random,20.0,926,4
Random,22.0,967,4
Random,24.0,1006,4
Random,26.0,1041,4
Random,28.0,1068,4
Random,30.0,1095,4
Random,32.0,1111,4
Random,34.0,1131,4
Random,36.0,1151,4
Random,38.0,1167,4
Random,40.0,1178,4
Random,42.0,1187,4
Random,44.0,1191,4
Random,46.0,1196,4
Random,48.0,1202,4
Random,50.0,1204,4
Random,52.0,1206,4
Random,54.0,1208,4
Random,56.0,1209,4
Random,58.0,1211,4
Random,60.0,1211,4
Random,62.0,1212,4
Random,64.0,1212,4
Random,66.0,1212,4
Random,68.0,1212,4
Random,70.0,1212,4
Random,72.0,1212,4
Random,74.0,1212,4
Random,76.0,1213,4
Random,78.0,1213,4
Random,80.0,1213,4
Random,82.0,1213,4
Random,84.0,1213,4
Random,86.0,1213,4
Random,88.0,1213,4
Random,90.0,1213,4
Random,92.0,1213,4
Random,94.0,1213,4
Random,96.0,1213,4
Random,98.0,1213,4
Random,100.0,1213,4
Random,102.0,1213,4
Random,104.0,1213,4
Random,106.0,1213,4
Random,108.0,1213,4
Random,110.0,1213,4
Random,112.0,1213,4
Random,114.0,1213,4
Random,116.0,1213,4
Random,118.0,1213,4
Random,120.0,1213,4
Random,2.0,162,5
Random,4.0,307,5
Random,6.0,425,5
Random,8.0,521,5
Random,10.0,633,5
Random,12.0,719,5
Random,14.0,797,5
Random,16.0,858,5
Random,18.0,911,5
Random,20.0,960,5
Random,22.0,999,5
Random,24.0,1031,5
Random,26.0,1060,5
Random,28.0,1087,5
Random,30.0,1104,5
Random,32.0,1120,5
Random,34.0,1139,5
Random,36.0,1152,5
Random,38.0,1166,5
Random,40.0,1176,5
Random,42.0,1181,5
Random,44.0,1186,5
